,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,ws-dum,ows,dws,ws,ws_per_48,id
747,1961-62,24,DET,NBA,C,80,1918,17.0,.493,.449,,,,,,3.1,1.8,4.9,.122,ferrybo01
748,1962-63,25,DET,NBA,C,79,2479,12.6,.473,.345,,,,,,1.2,2.0,3.1,.061,ferrybo01
749,1963-64,26,DET,NBA,C,74,1522,16.2,.493,.416,,,,,,2.0,0.7,2.7,.086,ferrybo01
750,1964-65,27,BAL,NBA,PF,77,1280,10.8,.479,.589,,,,6.1,,0.9,0.3,1.2,.044,ferrybo01
751,1965-66,28,BAL,NBA,C,66,1229,12.3,.457,.344,,,,11.6,,0.3,0.9,1.2,.047,ferrybo01
752,1966-67,29,BAL,NBA,C,51,991,11.6,.460,.349,,,,11.5,,0.1,0.8,0.9,.046,ferrybo01
753,1967-68,30,BAL,NBA,C,59,841,11.3,.454,.376,,,,9.3,,-0.1,0.9,0.8,.046,ferrybo01
754,1968-69,31,BAL,NBA,C,7,36,11.1,.391,.429,,,,13.6,,-0.1,0.1,0.0,.012,ferrybo01
755,1967-68,23,PHI,NBA,,19,73,13.5,.404,.298,,,,12.7,,-0.2,0.1,0.0,-0.009,filipro01
756,1970-71,23,NYK,NBA,C,39,271,10.3,.452,.265,,,15.6,8.3,,-0.1,0.6,0.6,.100,fillmgr01
757,1971-72,24,NYK,NBA,C,10,67,-0.5,.265,.111,,,11.0,5.7,,-0.3,0.1,-0.3,-0.181,fillmgr01
758,1952-53,24,PHW,NBA,SG,31,1015,13.7,.377,.445,,,,,,-1.0,0.7,-0.4,-0.017,finnda01
759,1953-54,25,PHW,NBA,PG,68,1562,13.9,.401,.396,,,,,,0.2,1.4,1.7,.052,finnda01
760,1954-55,26,PHW,NBA,PG,43,820,10.1,.342,.325,,,,,,-1.3,1.0,-0.3,-0.018,finnda01
761,1946-47,23,TOT,BAA,,60,,,.264,.359,,,,,,-1.3,1.2,-0.1,,fitzgbo01
762,1946-47,23,TRH,BAA,,31,,,.256,.290,,,,,,-1.0,0.6,-0.4,,fitzgbo01
763,1946-47,23,NYK,BAA,,29,,,.278,.496,,,,,,-0.3,0.6,0.3,,fitzgbo01
764,1948-49,25,ROC,BAA,,18,,,.284,.345,,,,,,-0.2,0.1,0.0,,fitzgbo01
765,1946-47,26,TRH,BAA,,60,,,.266,.121,,,,,,-1.6,0.8,-0.8,,fitzgdi01
766,1947-48,27,PRO,BAA,,1,,,.000,.000,,,,,,-0.1,0.0,-0.1,,fitzgdi01
767,1946-47,24,PHW,BAA,SG,59,,,.307,.341,,,,,,0.4,1.7,2.1,,fleisje01
768,1947-48,25,PHW,BAA,SG,46,,,.296,.275,,,,,,-0.6,2.7,2.2,,fleisje01
769,1948-49,26,PHW,BAA,SG,59,,,.339,.278,,,,,,-0.4,1.8,1.3,,fleisje01
770,1949-50,27,PHW,NBA,SG,65,,,.354,.428,,,,,,-0.5,2.1,1.6,,fleisje01
771,1952-53,30,PHW,NBA,SG,33,882,13.7,.406,.462,,,,,,0.0,0.6,0.6,.031,fleisje01
772,1955-56,22,ROC,NBA,SG,71,2028,16.4,.450,.451,,,,,,1.8,3.2,5.0,.118,flemied01
773,1956-57,23,ROC,NBA,SG,51,927,12.4,.398,.525,,,,,,-0.4,1.3,1.0,.050,flemied01
774,1957-58,24,MNL,NBA,SF,72,1686,12.3,.413,.389,,,,,,0.0,0.7,0.8,.021,flemied01
775,1958-59,25,MNL,NBA,SG,71,1132,13.7,.459,.453,,,,,,1.1,0.9,2.0,.084,flemied01
776,1959-60,26,MNL,NBA,SG,27,413,14.5,.499,.489,,,,,,0.7,0.4,1.2,.136,flemied01
777,1962-63,23,TOT,NBA,,11,83,15.6,.460,.294,,,,,,0.0,0.1,0.1,.057,foleyja01
778,1962-63,23,BOS,NBA,,5,46,17.9,.542,.308,,,,,,0.1,0.1,0.2,.202,foleyja01
779,1962-63,23,NYK,NBA,,6,37,12.7,.374,.280,,,,,,-0.1,0.0,-0.1,-0.123,foleyja01
780,1970-71,22,SFW,NBA,SG,35,210,12.1,.415,.255,,,3.1,16.8,,-0.4,0.1,-0.3,-0.069,fontale01
781,1970-71,24,SEA,NBA,,5,68,13.2,.490,.880,,,6.1,16.6,,0.1,0.0,0.1,.066,fordja01
782,1971-72,25,SEA,NBA,PG,26,181,16.2,.571,.500,,,2.9,20.7,,0.5,0.1,0.6,.158,fordja01
783,1948-49,23,MNL,BAA,,44,,,.344,.290,,,,,,-0.1,0.9,0.8,,formado01
784,,22,FTW,NBA,C,68,,,.409,.419,,,,,,0.9,3.6,4.5,,foustla01
785,,23,FTW,NBA,C,66,2615,21.2,.450,.398,,,,,,3.9,3.2,7.1,.130,foustla01
786,,24,FTW,NBA,C,67,2303,20.5,.448,.538,,,,,,2.9,3.4,6.3,.131,foustla01
787,,25,FTW,NBA,C,72,2693,22.8,.483,.517,,,,,,6.5,3.9,10.4,.186,foustla01
788,,26,FTW,NBA,C,70,2264,23.0,.570,.627,,,,,,10.3,3.0,13.3,.282,foustla01
789,,27,FTW,NBA,C,72,2024,23.8,.547,.676,,,,,,8.6,2.6,11.1,.264,foustla01
790,1956-57,28,FTW,NBA,C,61,1533,19.2,.484,.616,,,,,,3.4,1.3,4.7,.148,foustla01
791,,29,MNL,NBA,C,72,2200,20.0,.491,.576,,,,,,5.3,1.0,6.4,.139,foustla01
792,,30,MNL,NBA,C,72,1933,16.1,.473,.475,,,,,,2.7,1.5,4.2,.105,foustla01
793,1959-60,31,TOT,NBA,,72,1964,,.484,.418,,,,,,,,,,foustla01
794,1959-60,31,MNL,NBA,,47,,,,,,,,,,,,,,foustla01
795,1959-60,31,STL,NBA,,25,,,,,,,,,,,,,,foustla01
796,1960-61,32,STL,NBA,C,68,1208,13.7,.475,.425,,,,,,1.3,1.8,3.1,.124,foustla01
797,1961-62,33,STL,NBA,C,57,1153,14.7,.541,.411,,,,,,2.6,0.5,3.1,.129,foustla01
798,1951-52,24,MLH,NBA,,6,41,3.8,.305,.308,,,,,,-0.1,0.0,-0.1,-0.100,fowleje01
799,1972-73,23,BUF,NBA,PG,10,84,10.0,.436,.250,,,4.5,15.8,,0.0,0.0,0.0,-0.014,foxha01
800,1946-47,33,PIT,BAA,,6,,,.248,.444,,,,,,-0.1,0.0,-0.2,,frankna01
801,1970-71,22,TOT,NBA,SF,52,382,15.0,.551,.299,,,13.2,11.4,,0.8,0.5,1.2,.155,freemga01
802,1970-71,22,MIL,NBA,SF,41,335,15.4,.548,.311,,,13.9,11.3,,0.7,0.5,1.1,.161,freemga01
803,1970-71,22,CLE,NBA,SF,11,47,12.3,.582,.167,,,8.2,12.3,,0.1,0.0,0.1,.108,freemga01
804,1946-47,25,NYK,BAA,,23,,,.362,.577,,,,,,0.8,0.4,1.2,,freyfr01
805,1957-58,22,NYK,NBA,SG,44,569,7.7,.359,.181,,,,,,-0.7,0.3,-0.4,-0.033,frienla01
806,1968-69,23,CIN,NBA,SG,48,363,7.9,.385,.197,,,,19.9,,-0.5,0.1,-0.5,-0.064,frinkpa01
807,1953-54,22,TOT,NBA,PF,68,1221,7.8,.344,.179,,,,,,-2.0,0.3,-1.7,-0.065,fritsji01
808,1953-54,22,MNL,NBA,PF,2,8,-18.9,.105,1.333,,,,,,-0.1,0.0,-0.1,-0.652,fritsji01
809,1953-54,22,BLB,NBA,PF,66,1213,8.0,.346,.170,,,,,,-1.9,0.3,-1.6,-0.062,fritsji01
810,1954-55,23,FTW,NBA,PF,16,151,6.7,.409,.333,,,,,,-0.1,0.1,0.1,.028,fritsji01
811,1946-47,26,TRH,BAA,,28,,,.312,.303,,,,,,0.2,0.3,0.4,,fucarfr01
812,1947-48,29,BLB,BAA,,42,,,.346,.286,,,,,,0.5,0.3,0.9,,fuetshe01
813,1946-47,25,PHW,BAA,PF,60,,,.381,.386,,,,,,13.0,3.3,16.3,,fulksjo01
814,1947-48,26,PHW,BAA,PF,43,,,.332,.310,,,,,,2.2,3.8,6.0,,fulksjo01
815,1948-49,27,PHW,BAA,PF,60,,,.396,.378,,,,,,4.2,3.4,7.7,,fulksjo01
816,1949-50,28,PHW,NBA,PF,68,,,.346,.348,,,,,,-4.4,3.7,-0.8,,fulksjo01
817,,29,PHW,NBA,PF,66,,,.398,.325,,,,,,-0.2,4.5,4.3,,fulksjo01
818,,30,PHW,NBA,PF,61,1904,11.8,.381,.281,,,,,,-2.5,0.7,-1.8,-0.045,fulksjo01
819,1952-53,31,PHW,NBA,PF,70,2085,11.6,.392,.241,,,,,,-1.8,1.2,-0.6,-0.015,fulksjo01
820,1953-54,32,PHW,NBA,PF,61,501,3.7,.299,.214,,,,,,-2.2,0.4,-1.8,-0.171,fulksjo01
821,1949-50,27,SYR,NBA,SG,56,,,.395,.340,,,,,,0.7,2.8,3.5,,gaborbi01
822,1950-51,28,SYR,NBA,SG,61,,,.405,.325,,,,,,0.4,1.1,1.5,,gaborbi01
823,1951-52,29,SYR,NBA,SG,57,1085,9.8,.394,.340,,,,,,-0.5,1.0,0.5,.021,gaborbi01
824,,30,SYR,NBA,SG,69,1337,13.8,.438,.463,,,,,,1.5,1.3,2.8,.101,gaborbi01
825,1953-54,31,SYR,NBA,SG,61,1211,14.6,.430,.352,,,,,,1.2,1.8,2.9,.116,gaborbi01
826,1954-55,32,SYR,NBA,SG,3,47,11.7,.351,.227,,,,,,-0.1,0.1,0.0,-0.012,gaborbi01
827,1947-48,29,BLB,BAA,,5,,,.215,.667,,,,,,-0.1,0.1,0.0,,gaineel01
828,1949-50,31,WAT,NBA,,15,,,.312,.229,,,,,,-0.2,-0.1,-0.3,,gaineel01
829,1948-49,21,NYK,BAA,,52,,,.392,.353,,,,,,1.3,1.5,2.8,,gallaha01
830,1949-50,22,NYK,NBA,,68,,,.487,.551,,,,,,6.5,1.4,7.8,,gallaha01
831,,23,NYK,NBA,,66,,,.491,.502,,,,,,5.9,1.7,7.6,,gallaha01
832,,24,NYK,NBA,PF,66,1931,22.0,.547,.647,,,,,,7.0,1.9,8.9,.221,gallaha01
833,,25,NYK,NBA,PF,70,2333,23.3,.525,.677,,,,,,6.9,4.4,11.3,.232,gallaha01
834,,26,NYK,NBA,PF,72,2690,24.1,.538,.864,,,,,,9.0,2.8,11.8,.210,gallaha01
835,,27,NYK,NBA,PF,72,2548,20.5,.491,.562,,,,,,5.1,3.3,8.3,.157,gallaha01
836,,28,NYK,NBA,SF,72,2378,17.5,.484,.546,,,,,,4.0,1.7,5.6,.114,gallaha01
837,,29,NYK,NBA,PF,72,1943,22.9,.516,.635,,,,,,6.4,1.6,8.1,.199,gallaha01
838,1957-58,30,DET,NBA,PF,72,1990,19.8,.480,.555,,,,,,4.2,1.9,6.1,.147,gallaha01
839,1958-59,21,STL,NBA,SF,2,7,11.5,1.000,.000,,,,,,0.0,0.0,0.0,.261,gambeda01
840,1959-60,22,TOT,NBA,,61,656,,.449,.364,,,,,,,,,,gambeda01
841,1959-60,22,STL,NBA,,42,,,,,,,,,,,,,,gambeda01
842,1959-60,22,CIN,NBA,,19,,,,,,,,,,,,,,gambeda01
843,1960-61,23,SYR,NBA,SF,79,2090,14.7,.492,.372,,,,,,3.3,2.0,5.3,.121,gambeda01
844,1961-62,24,SYR,NBA,SF,80,2301,16.3,.502,.417,,,,,,4.1,2.9,7.0,.145,gambeda01
845,1962-63,25,SYR,NBA,SF,60,1234,14.6,.521,.443,,,,,,2.2,1.1,3.3,.129,gambeda01
846,1963-64,26,PHI,NBA,SF,41,927,13.5,.489,.489,,,,,,1.0,0.6,1.6,.084,gambeda01
847,1964-65,27,PHI,NBA,SF,80,1993,14.7,.493,.426,,,,8.1,,2.9,1.7,4.6,.110,gambeda01
848,1965-66,28,PHI,NBA,SF,72,1068,12.6,.477,.428,,,,8.4,,0.8,1.4,2.2,.101,gambeda01
849,1966-67,29,PHI,NBA,SF,63,757,13.8,.509,.362,,,,6.9,,1.1,0.8,1.9,.118,gambeda01
850,1967-68,30,SDR,NBA,PF,80,1755,17.3,.525,.444,,,,7.7,,3.6,1.5,5.0,.138,gambeda01
851,1968-69,31,TOT,NBA,SF,59,926,17.9,.526,.419,,,,7.5,,2.2,0.6,2.7,.141,gambeda01
852,1968-69,31,MIL,NBA,SF,34,624,19.5,.537,.412,,,,7.8,,1.8,0.5,2.2,.169,gambeda01
853,1968-69,31,DET,NBA,SF,25,302,14.7,.499,.437,,,,6.9,,0.4,0.1,0.5,.083,gambeda01
854,1969-70,32,SFW,NBA,SF,73,951,14.2,.482,.401,,,,8.2,,0.3,1.1,1.4,.071,gambeda01
855,1946-47,24,WSC,BAA,,23,,,.350,.315,,,,,,0.4,0.8,1.3,,ganttbo01
856,1948-49,25,MNL,BAA,,50,,,.393,.277,,,,,,0.3,0.4,0.7,,gardnea01
857,1949-50,24,PHW,NBA,SG,63,,,.408,.323,,,,,,2.2,3.6,5.9,,gardnve01
858,1950-51,25,PHW,NBA,SG,61,,,.384,.253,,,,,,-0.3,1.9,1.6,,gardnve01
859,1951-52,26,PHW,NBA,SG,27,507,11.1,.389,.119,,,,,,-0.3,0.2,-0.1,-0.006,gardnve01
860,1946-47,28,BOS,BAA,,40,,,.283,.092,,,,,,-0.2,0.5,0.3,,garfija01
861,1947-48,29,BOS,BAA,,43,,,.329,.121,,,,,,0.9,0.2,1.1,,garfija01
862,1948-49,30,BOS,BAA,,9,,,.223,.200,,,,,,-0.8,0.3,-0.5,,garfija01
863,1955-56,23,MNL,NBA,SG,68,870,13.6,.447,.373,,,,,,0.7,0.6,1.3,.072,garmadi01
864,,24,MNL,NBA,SG,72,2406,16.6,.488,.429,,,,,,5.5,2.0,7.5,.150,garmadi01
865,,25,MNL,NBA,SG,68,2216,15.2,.468,.416,,,,,,3.7,0.7,4.4,.095,garmadi01
866,,26,MNL,NBA,SG,72,2493,12.5,.470,.416,,,,,,3.1,1.5,4.6,.088,garmadi01
867,,27,TOT,NBA,SG,70,1932,13.0,.456,.323,,,,,,1.6,1.5,3.1,.076,garmadi01
868,,27,MNL,NBA,,44,1187,12.3,.430,.310,,,,,,0.2,1.2,1.4,.057,garmadi01
869,,27,NYK,NBA,SG,26,745,14.2,.503,.345,,,,,,1.4,0.3,1.7,.107,garmadi01
870,1960-61,28,NYK,NBA,PG,71,2238,13.7,.502,.380,,,,,,4.1,0.6,4.7,.101,garmadi01
871,1949-50,29,AND,NBA,,64,,,.322,.244,,,,,,-1.7,3.0,1.3,,gatesfr01
872,1950-51,23,TRI,NBA,,15,,,.495,.522,,,,,,0.4,0.2,0.6,,gaydaed01
873,1953-54,25,PHW,NBA,PG,71,2648,12.1,.396,.361,,,,,,-0.3,2.2,1.8,.034,georgja01
874,1954-55,26,PHW,NBA,PG,68,2480,12.7,.438,.385,,,,,,1.5,2.3,3.8,.074,georgja01
875,,27,PHW,NBA,PG,72,2840,13.6,.450,.416,,,,,,2.5,2.1,4.6,.077,georgja01
876,,28,PHW,NBA,SG,67,2229,11.7,.402,.391,,,,,,-0.2,1.4,1.2,.026,georgja01
877,1957-58,29,PHW,NBA,PG,72,1910,12.5,.438,.386,,,,,,1.4,2.0,3.4,.084,georgja01
878,1958-59,30,TOT,NBA,PG,71,1881,11.0,.405,.301,,,,,,-0.5,1.9,1.5,.038,georgja01
879,1958-59,30,PHW,NBA,PG,46,1387,11.0,.399,.303,,,,,,-0.6,1.6,1.1,.038,georgja01
880,1958-59,30,NYK,NBA,PG,25,494,10.9,.425,.295,,,,,,0.1,0.3,0.4,.037,georgja01
881,1959-60,31,NYK,NBA,PG,69,1604,12.0,.443,.311,,,,,,0.9,0.6,1.5,.046,georgja01
882,1960-61,32,NYK,NBA,PG,16,268,7.7,.386,.323,,,,,,-0.2,0.1,-0.1,-0.025,georgja01
883,1946-47,26,PIT,BAA,,16,,,.245,.625,,,,,,-0.1,0.0,-0.1,,getchgo01
884,1949-50,26,TRI,NBA,,44,,,.435,.722,,,,,,1.7,1.0,2.7,,gibsode01
885,1949-50,28,TOT,NBA,,32,,,.394,.328,,,,,,0.2,-0.2,0.0,,gibsoho01
886,1949-50,28,BOS,NBA,,2,,,.608,1.000,,,,,,0.1,0.0,0.1,,gibsoho01
887,1949-50,28,WAT,NBA,,30,,,.389,.314,,,,,,0.1,-0.2,-0.1,,gibsoho01
888,1963-64,23,LAL,NBA,,9,53,2.5,.311,.100,,,,,,-0.2,0.0,-0.1,-0.119,gibsome01
889,1946-47,,WSC,BAA,,14,,,.267,.818,,,,,,0.0,0.2,0.2,,gillege01
890,1970-71,23,POR,NBA,PF,27,261,6.4,.443,.481,,,12.2,5.4,,-0.1,0.2,0.2,.033,gilmowa01
891,1946-47,24,CHS,BAA,,51,,,.316,.261,,,,,,0.4,1.3,1.7,,gilmuch01
892,1947-48,25,CHS,BAA,,48,,,.347,.248,,,,,,2.2,2.3,4.5,,gilmuch01
893,1948-49,26,CHS,BAA,,56,,,.428,.431,,,,,,2.0,2.5,4.6,,gilmuch01
894,1949-50,27,WSC,NBA,,68,,,.431,.636,,,,,,2.3,2.0,4.3,,gilmuch01
895,1950-51,28,WSC,NBA,,16,,,.340,.525,,,,,,-0.3,0.2,-0.1,,gilmuch01
896,1948-49,30,INJ,BAA,,11,,,.351,.455,,,,,,-0.1,0.3,0.2,,glamage01
897,1949-50,22,MNL,NBA,,1,,,1.000,.000,,,,,,0.0,0.0,0.1,,glickno01
898,1971-72,24,BOS,NBA,PF,25,119,14.0,.470,.582,,,17.7,4.4,,0.0,0.2,0.3,.103,glovecl01
899,1955-56,23,PHW,NBA,SG,68,2346,16.7,.496,.563,,,,,,4.0,2.5,6.5,.132,golato01
900,1957-58,25,PHW,NBA,SG,59,2126,18.3,.482,.421,,,,,,3.9,3.2,7.1,.161,golato01
901,1958-59,26,PHW,NBA,SG,64,2333,17.4,.484,.462,,,,,,3.8,3.6,7.4,.153,golato01
902,,27,PHW,NBA,SG,75,2870,15.4,.495,.346,,,,,,4.5,5.4,9.9,.166,golato01
903,,28,PHW,NBA,SG,74,2712,13.3,.494,.299,,,,,,3.5,3.3,6.8,.121,golato01
904,,29,PHW,NBA,SG,60,2462,11.4,.473,.301,,,,,,1.6,2.7,4.4,.085,golato01
905,,30,TOT,NBA,SF-SG,73,2670,12.0,.505,.277,,,,,,2.6,1.7,4.4,.078,golato01
906,,30,SFW,NBA,SG,21,822,10.5,.500,.272,,,,,,0.7,0.6,1.3,.076,golato01
907,,30,NYK,NBA,SF,52,1848,12.7,.507,.279,,,,,,2.0,1.1,3.1,.079,golato01
908,,31,NYK,NBA,SG,74,2156,11.6,.482,.352,,,,,,1.6,0.2,1.7,.039,golato01
909,1964-65,32,NYK,NBA,SG,77,1727,12.0,.506,.396,,,,17.3,,2.2,1.2,3.4,.094,golato01
910,1965-66,33,NYK,NBA,SG,74,1127,12.2,.514,.387,,,,20.8,,1.3,0.4,1.7,.071,golato01
911,1946-47,33,WSC,BAA,,2,,,.266,2.000,,,,,,0.0,0.0,0.0,,goldfbe01
912,1946-47,26,PRO,BAA,,55,,,.336,.216,,,,,,1.0,0.0,1.0,,goodwpo01
913,1947-48,27,PRO,BAA,,24,,,.273,.174,,,,,,-0.5,-0.1,-0.7,,goodwpo01
914,1949-50,22,BLB,NBA,,4,,,.183,.833,,,,,,-0.1,0.0,-0.1,,gordopa01
915,1946-47,26,NYK,BAA,,57,,,.322,.111,,,,,,0.9,1.0,1.9,,gottlle01
916,1947-48,27,NYK,BAA,,27,,,.276,.092,,,,,,-0.7,0.7,-0.1,,gottlle01
917,1953-54,25,SYR,NBA,PG,23,258,7.1,.394,.468,,,,,,-0.1,0.3,0.2,.044,govedba01
918,1948-49,19,CHS,BAA,,45,,,.350,.312,,,,,,-0.2,1.0,0.7,,grabojo01
919,1949-50,20,CHS,NBA,,57,,,.355,.360,,,,,,-0.6,1.2,0.6,,grabojo01
920,1951-52,22,INO,NBA,C,66,2439,17.3,.451,.479,,,,,,3.4,3.8,7.2,.142,grabojo01
921,1952-53,23,INO,NBA,C,69,2769,16.2,.436,.642,,,,,,2.1,3.7,5.8,.101,grabojo01
922,1953-54,24,PHW,NBA,PF,71,2759,14.5,.409,.350,,,,,,-0.2,2.5,2.3,.040,grabojo01
923,1954-55,25,PHW,NBA,PF,70,2515,11.7,.388,.276,,,,,,-2.8,2.7,-0.1,-0.002,grabojo01
924,1955-56,26,PHW,NBA,PF,72,2375,13.8,.422,.316,,,,,,-0.2,2.1,2.0,.040,grabojo01
925,1956-57,27,PHW,NBA,PF,72,2501,12.6,.410,.288,,,,,,-0.5,1.6,1.1,.021,grabojo01
926,1957-58,28,PHW,NBA,PF,72,2077,12.1,.395,.298,,,,,,-1.4,2.3,0.9,.022,grabojo01
927,1958-59,29,PHW,NBA,PF,72,2482,13.9,.415,.323,,,,,,-0.5,3.3,2.8,.053,grabojo01
928,1959-60,30,PHW,NBA,PF,73,1269,12.9,.428,.298,,,,,,0.1,2.1,2.2,.082,grabojo01
929,1960-61,31,PHW,NBA,PF,68,1011,10.1,.396,.361,,,,,,-1.1,1.1,0.0,.000,grabojo01
930,1961-62,32,TOT,NBA,,38,468,,.387,.294,,,,,,,,,,grabojo01
931,1961-62,32,STL,NBA,,3,,,,,,,,,,,,,,grabojo01
932,1961-62,32,CHP,NBA,,12,,,,,,,,,,,,,,grabojo01
933,1961-62,32,SYR,NBA,,23,323,,,,,,,,,,,,,grabojo01
934,1967-68,22,BOS,NBA,PG,48,786,8.8,.467,.324,,,,9.9,,0.2,0.9,1.1,.067,grahama01
935,1968-69,23,BOS,NBA,PG,22,103,4.6,.302,.255,,,,17.5,,-0.5,0.2,-0.3,-0.135,grahama01
936,1949-50,22,MNL,NBA,,35,,,.371,.148,,,,,,-0.1,0.6,0.5,,grantbu01
937,1950-51,23,MNL,NBA,,61,,,.358,.451,,,,,,-0.5,1.1,0.6,,grantbu01
938,1949-50,26,SHE,NBA,,2,,,.291,.333,,,,,,0.0,0.0,0.0,,gratedo01
939,1967-68,22,CIN,NBA,SG,44,276,5.4,.379,.075,,,,12.5,,-0.6,0.0,-0.5,-0.093,grayga01
940,1946-47,24,BOS,BAA,,55,,,.330,.261,,,,,,1.6,0.7,2.2,,graywy01
941,1947-48,25,TOT,BAA,,12,,,.168,.108,,,,,,-0.5,0.2,-0.3,,graywy01
942,1947-48,25,PRO,BAA,,1,,,.000,1.000,,,,,,0.0,0.0,0.0,,graywy01
943,1947-48,25,STB,BAA,,11,,,.174,.083,,,,,,-0.4,0.2,-0.2,,graywy01
944,1959-60,26,NYK,NBA,PF,69,1232,13.1,.449,.331,,,,,,0.5,0.7,1.2,.047,greenjo01
945,1960-61,27,NYK,NBA,PF,78,1784,16.1,.453,.367,,,,,,0.8,0.8,1.7,.045,greenjo01
946,,28,NYK,NBA,PF,80,2789,15.8,.470,.373,,,,,,2.1,3.0,5.1,.088,greenjo01
947,,29,NYK,NBA,PF,80,2553,19.0,.497,.348,,,,,,3.3,1.8,5.1,.096,greenjo01
948,1963-64,30,NYK,NBA,PF,80,2134,18.1,.484,.382,,,,,,2.3,0.2,2.6,.057,greenjo01
949,,31,NYK,NBA,PF,78,1720,17.5,.493,.408,,,,11.5,,2.5,1.3,3.8,.107,greenjo01
950,1965-66,32,TOT,NBA,PF,79,1645,19.3,.547,.581,,,,9.1,,4.3,1.3,5.6,.164,greenjo01
951,1965-66,32,NYK,NBA,PF,7,208,16.9,.545,.392,,,,7.4,,0.5,0.1,0.5,.121,greenjo01
952,1965-66,32,BAL,NBA,PF,72,1437,19.7,.548,.606,,,,9.3,,3.8,1.3,5.1,.171,greenjo01
953,1966-67,33,BAL,NBA,PF,61,948,16.6,.475,.474,,,,8.3,,0.6,0.9,1.5,.075,greenjo01
954,1967-68,34,TOT,NBA,PF,77,1440,16.0,.471,.436,,,,7.8,,0.5,1.8,2.3,.076,greenjo01
955,1967-68,34,SDR,NBA,PF,42,1073,16.7,.470,.403,,,,8.1,,0.3,1.2,1.5,.067,greenjo01
956,1967-68,34,PHI,NBA,PF,35,367,13.7,.474,.553,,,,7.0,,0.1,0.6,0.8,.102,greenjo01
957,1968-69,35,PHI,NBA,PF,74,795,16.2,.518,.443,,,,7.7,,1.2,1.2,2.4,.145,greenjo01
958,1969-70,36,CIN,NBA,PF,78,2278,18.4,.580,.499,,,,6.7,,5.9,2.5,8.4,.177,greenjo01
959,,37,CIN,NBA,PF,75,2147,19.4,.607,.470,,,13.7,5.7,,7.9,1.6,9.5,.212,greenjo01
960,1971-72,38,CIN,NBA,PF,82,1914,15.6,.580,.430,,,14.5,9.0,,4.5,0.8,5.3,.132,greenjo01
961,1972-73,39,KCO,NBA,PF,66,1245,14.6,.626,.413,,,15.1,6.2,,3.5,0.1,3.7,.141,greenjo01
962,1956-57,23,ROC,NBA,SG,13,423,13.5,.430,.483,,,,,,0.2,0.6,0.8,.096,greensi01
963,1958-59,25,TOT,NBA,PG,46,1109,11.5,.408,.386,,,,,,-0.3,0.7,0.4,.017,greensi01
964,1958-59,25,CIN,NBA,,20,666,13.1,.417,.272,,,,,,0.0,0.3,0.3,.020,greensi01
965,1958-59,25,STL,NBA,PG,26,443,9.1,.394,.592,,,,,,-0.3,0.4,0.1,.011,greensi01
966,1959-60,26,STL,NBA,PG,70,1354,9.5,.426,.410,,,,,,0.1,1.0,1.0,.037,greensi01
967,1960-61,27,STL,NBA,SG,76,1968,10.5,.423,.344,,,,,,-0.2,2.8,2.6,.063,greensi01
968,1961-62,28,TOT,NBA,,71,2388,,.432,.344,,,,,,,,,,greensi01
969,1961-62,28,STL,NBA,,14,,,,,,,,,,,,,,greensi01
970,1961-62,28,CHP,NBA,,57,,,,,,,,,,,,,,greensi01
971,1962-63,29,CHZ,NBA,PG,73,2648,11.4,.465,.391,,,,,,0.9,0.7,1.6,.029,greensi01
972,1963-64,30,BAL,NBA,PG,75,2064,11.6,.472,.420,,,,,,1.3,1.3,2.6,.061,greensi01
973,1964-65,31,BAL,NBA,PG,70,1086,11.6,.461,.438,,,,17.4,,0.6,0.2,0.8,.037,greensi01
974,1965-66,32,BOS,NBA,,10,92,7.5,.421,.516,,,,12.6,,-0.1,0.1,0.1,.048,greensi01
975,1963-64,22,PHI,NBA,SG,20,280,8.7,.438,.556,,,,,,-0.1,0.2,0.1,.020,greenje01
976,1964-65,23,PHI,NBA,SG,5,49,15.7,.726,.615,,,,0.0,,0.3,0.0,0.3,.283,greenje01
977,1958-59,22,SYR,NBA,SG,68,1625,13.3,.498,.259,,,,,,3.2,1.3,4.5,.132,greerha01
978,1959-60,23,SYR,NBA,SG,70,1979,14.1,.514,.232,,,,,,4.2,1.6,5.8,.141,greerha01
979,,24,SYR,NBA,SG,79,2763,16.3,.499,.285,,,,,,5.4,2.5,7.9,.137,greerha01
980,,25,SYR,NBA,SG,71,2705,17.5,.500,.280,,,,,,5.0,3.5,8.5,.151,greerha01
981,,26,SYR,NBA,SG,80,2631,17.3,.526,.336,,,,,,5.7,2.5,8.2,.149,greerha01
982,,27,PHI,NBA,SG,80,3157,17.7,.506,.326,,,,,,6.1,2.0,8.1,.124,greerha01
983,,28,PHI,NBA,SG,70,2600,16.3,.495,.332,,,,17.9,,4.4,2.2,6.6,.121,greerha01
984,,29,PHI,NBA,SG,80,3326,15.9,.504,.325,,,,15.7,,5.5,4.0,9.5,.138,greerha01
985,,30,PHI,NBA,SG,80,3086,15.0,.510,.306,,,,12.7,,5.0,2.6,7.6,.118,greerha01
986,,31,PHI,NBA,SG,82,3263,17.1,.529,.338,,,,14.9,,6.9,4.3,11.2,.165,greerha01
987,,32,PHI,NBA,SG,82,3311,16.9,.517,.340,,,,17.2,,6.5,3.4,9.9,.144,greerha01
