,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,ws-dum,ows,dws,ws,ws_per_48,id
120,1959-60,28,PHW,NBA,SG,66,809,8.2,.414,.109,,,,,,-0.2,1.0,0.9,.051,becker01
121,1960-61,29,TOT,NBA,SG,10,82,12.5,.405,.241,,,,,,0.0,0.1,0.1,.064,becker01
122,1960-61,29,STL,NBA,SG,7,62,12.1,.409,.238,,,,,,0.0,0.1,0.1,.071,becker01
123,1960-61,29,SYR,NBA,SG,3,20,13.6,.394,.250,,,,,,0.0,0.0,0.0,.039,becker01
124,1946-47,29,TOT,BAA,,43,,,.215,.123,,,,,,-3.0,0.7,-2.4,,beckemo01
125,1946-47,29,PIT,BAA,,17,,,.223,.131,,,,,,-1.8,-0.2,-2.0,,beckemo01
126,1946-47,29,BOS,BAA,,6,,,.274,.182,,,,,,-0.1,0.1,0.0,,beckemo01
127,1946-47,29,DTF,BAA,,20,,,.184,.093,,,,,,-1.2,0.8,-0.4,,beckemo01
128,1946-47,30,PRO,BAA,,58,,,.316,.253,,,,,,1.1,0.0,1.1,,beendha01
129,1947-48,31,TOT,BAA,,45,,,.333,.305,,,,,,0.5,0.4,0.9,,beendha01
130,1947-48,31,PRO,BAA,,21,,,.317,.290,,,,,,0.1,-0.2,-0.1,,beendha01
131,1947-48,31,PHW,BAA,,24,,,.377,.348,,,,,,0.5,0.6,1.0,,beendha01
132,1948-49,32,BOS,BAA,,8,,,.297,.321,,,,,,-0.2,0.1,-0.1,,beendha01
133,1951-52,22,MLH,NBA,,4,55,7.8,.319,.318,,,,,,-0.2,0.1,-0.1,-0.098,behnkel01
134,1959-60,27,NYK,NBA,PG,31,449,10.3,.412,.232,,,,,,-0.1,0.2,0.1,.008,bellwh01
135,1960-61,28,NYK,NBA,PG,5,45,4.8,.388,.167,,,,,,-0.1,0.0,0.0,-0.043,bellwh01
136,1953-54,23,MLH,NBA,SF,69,1496,12.7,.427,.412,,,,,,0.8,1.2,2.0,.063,bemorir01
137,1956-57,26,STL,NBA,SF,62,983,7.0,.369,.268,,,,,,-1.3,0.6,-0.6,-0.031,bemorir01
138,1949-50,23,TRI,NBA,,3,,,.275,.313,,,,,,-0.1,0.0,-0.1,,bercege01
139,1956-57,24,NYK,NBA,,6,40,4.7,.337,.182,,,,,,-0.1,0.0,0.0,-0.044,bergega01
140,1956-57,24,SYR,NBA,PG,68,1577,9.6,.419,.422,,,,,,0.2,1.3,1.5,.046,biancal01
141,1957-58,25,SYR,NBA,SG,69,1421,9.6,.398,.328,,,,,,-0.6,1.3,0.8,.026,biancal01
142,1958-59,26,SYR,NBA,PG,72,1779,9.5,.425,.272,,,,,,0.3,1.5,1.8,.048,biancal01
143,1959-60,27,SYR,NBA,PG,69,1256,9.6,.412,.269,,,,,,-0.4,1.1,0.8,.030,biancal01
144,1960-61,28,SYR,NBA,PG,52,667,8.8,.389,.254,,,,,,-0.8,0.6,-0.1,-0.010,biancal01
145,1961-62,29,SYR,NBA,PG,80,1925,11.4,.437,.261,,,,,,0.0,2.4,2.4,.059,biancal01
146,1962-63,30,SYR,NBA,SG,61,1159,12.5,.478,.345,,,,,,0.8,1.1,1.9,.079,biancal01
147,1963-64,31,PHI,NBA,PG,78,1437,8.9,.418,.206,,,,,,-1.1,0.8,-0.4,-0.012,biancal01
148,1964-65,32,PHI,NBA,PG,60,1116,7.3,.389,.156,,,,17.4,,-1.4,0.8,-0.6,-0.025,biancal01
149,1965-66,33,PHI,NBA,PG,78,1312,7.1,.410,.175,,,,13.0,,-1.2,1.4,0.2,.006,biancal01
