,season,school_name,conf_abbr,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,ft_per_poss,fta_per_poss,ft_pct,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,poss-dum,off_rtg,def_rtg,id,cbb_id
194,2016-17,Southeast Missouri State,OVC,33,33,1086,10.9,20.1,.543,9.5,16.3,.581,1.5,3.8,.384,5.5,8.4,.660,8.9,3.8,2.5,1.6,3.5,4.5,28.9,,114.0,104.5,clevean01,antonius-cleveland-1
195,2007-08,Cleveland State,Horizon,34,0,489,,,.380,,,.440,,,.238,,,.817,,,,,,,,,,,coleno01,norris-cole-1
196,2008-09,Cleveland State,Horizon,37,37,1213,,,.453,,,.521,,,.305,,,.804,,,,,,,,,,,coleno01,norris-cole-1
197,2009-10,Cleveland State,Horizon,33,33,1127,9.9,22.9,.432,7.9,17.0,.464,2.0,5.9,.342,7.0,8.8,.799,4.9,7.8,3.3,0.2,4.9,4.3,28.9,,106.9,104.9,coleno01,norris-cole-1
198,2010-11,Cleveland State,Horizon,36,36,1285,11.8,26.8,.439,9.4,19.8,.473,2.4,7.0,.342,10.6,12.5,.853,9.8,8.9,3.7,0.1,4.5,4.1,36.5,,117.7,92.8,coleno01,norris-cole-1
199,2015-16,Wake Forest,ACC,31,1,446,10.1,18.5,.547,10.1,18.5,.547,0.0,0.0,,8.1,11.7,.691,15.2,0.9,1.1,2.9,3.9,10.2,28.3,,114.6,108.5,collijo01,john-collins-1
200,2016-17,Wake Forest,ACC,33,33,878,14.9,23.9,.622,14.9,23.8,.624,0.0,0.1,.000,10.4,14.0,.745,20.6,1.1,1.3,3.3,3.8,6.2,40.1,,129.9,105.0,collijo01,john-collins-1
201,2016-17,Gonzaga,WCC,39,0,673,11.3,17.3,.652,10.5,15.6,.672,0.8,1.8,.476,9.2,12.4,.743,19.2,1.3,1.5,5.8,5.0,8.8,32.6,,125.1,79.4,colliza01,zach-collins-1
202,2010-11,BYU,MWC,36,26,926,4.7,9.8,.481,4.3,8.2,.526,0.4,1.6,.259,2.8,4.9,.568,11.1,4.6,2.4,1.0,3.4,4.4,12.7,,104.4,95.5,colliky01,kyle-collinsworth-1
203,2013-14,BYU,WCC,34,33,1136,8.4,16.9,.497,8.0,15.8,.506,0.4,1.1,.364,5.6,9.7,.576,13.2,7.5,2.7,0.7,4.3,3.9,22.7,,110.0,102.0,colliky01,kyle-collinsworth-1
