,season,school_name,conf_abbr,g,gs,mp,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
870,1977-78,West Virginia,EAA,28,,958,.532,,.322,,4.9,19.7,,,,,moorelo01,lowes-moore-1
871,1978-79,West Virginia,EAA,28,,913,.525,,.325,,,,,,,,moorelo01,lowes-moore-1
872,1979-80,West Virginia,EAA,29,,979,.509,,.263,,,,,,,,moorelo01,lowes-moore-1
873,1967-68,Purdue,Big Ten,24,,,.498,,.329,,,,,,,,mountri01,rick-mount-1
874,1968-69,Purdue,Big Ten,28,,,.567,,.332,,,,,,,,mountri01,rick-mount-1
875,1969-70,Purdue,Big Ten,20,,,.536,,.285,,,,,,,,mountri01,rick-mount-1
876,1947-48,Eastern Kentucky,Ind,25,,,,,,,,,,,,,mrazoch01,chuck-mrazovich-1
877,1967-68,Niagara,Ind,24,,,.504,,.373,,,,,,,,murphca01,calvin-murphy-1
878,1968-69,Niagara,Ind,24,,,.481,,.329,,,,,,,,murphca01,calvin-murphy-1
879,1969-70,Niagara,Ind,29,,,.526,,.364,,,,,,,,murphca01,calvin-murphy-1
880,1961-62,Kentucky,SEC,26,,,.513,,.446,,,,,,,,nashco01,cotton-nash-1
881,1962-63,Kentucky,SEC,25,,926,.441,,.501,,,,,,,,nashco01,cotton-nash-1
882,1963-64,Kentucky,SEC,27,,1038,.475,,.337,,,,,,,,nashco01,cotton-nash-1
883,1971-72,UCLA,Pac-8,29,,,.548,,.297,,,,,,,,natersw01,swen-nater-1
884,1972-73,UCLA,Pac-8,29,,,.485,,.271,,,,,,,,natersw01,swen-nater-1
885,1959-60,Iowa,Big Ten,24,,,.483,,.484,,,,,,,,nelsodo01,don-nelson-1
886,1960-61,Iowa,Big Ten,24,,,.565,,.711,,,,,,,,nelsodo01,don-nelson-1
887,1961-62,Iowa,Big Ten,24,,,.604,,.759,,,,,,,,nelsodo01,don-nelson-1
888,1968-69,Utah,WAC,26,,,.537,,.555,,,,,,,,newlimi01,mike-newlin-1
889,1969-70,Utah,WAC,28,,,.552,,.533,,,,,,,,newlimi01,mike-newlin-1
890,1970-71,Utah,WAC,26,,,.512,,.414,,,,,,,,newlimi01,mike-newlin-1
891,1976-77,Indiana State,MVC,24,,167,.397,,.500,,,,,,,,nicksca01,carl-nicks-1
892,1978-79,Indiana State,MVC,34,34,,.495,,.318,,,,,,,,nicksca01,carl-nicks-1
893,1979-80,Indiana State,MVC,27,27,,.501,,.403,,,,,,,,nicksca01,carl-nicks-1
894,1976-77,Cal State Fullerton,PCAA,26,10,,.535,,.418,,,,,,18.1,,nilesmi01,mike-niles-1
895,1977-78,Cal State Fullerton,PCAA,29,22,,.486,,.284,,,,,,15.4,,nilesmi01,mike-niles-1
896,1978-79,Cal State Fullerton,PCAA,27,27,786,.549,,.400,,,,,,14.6,,nilesmi01,mike-niles-1
897,1976-77,Arizona State,WAC,18,1,76,.547,,.632,,,,,,,,nimphku01,kurt-nimphius-1
898,1977-78,Arizona State,WAC,27,23,670,.572,,.301,,,,,,,,nimphku01,kurt-nimphius-1
899,1978-79,Arizona State,Pac-10,30,18,576,.604,,.500,,,,,,14.6,,nimphku01,kurt-nimphius-1
900,1979-80,Arizona State,Pac-10,29,29,977,.636,,.510,,,,,,14.1,,nimphku01,kurt-nimphius-1
901,1973-74,Duquesne,Ind,24,,,.462,,.175,,,,,,,,nixonno01,norm-nixon-1
902,1974-75,Duquesne,Ind,25,,,.557,,.326,,,,,,,,nixonno01,norm-nixon-1
903,1975-76,Duquesne,Ind,25,,,.530,,.293,,,,,,,,nixonno01,norm-nixon-1
904,1976-77,Duquesne,ECBL,30,,1106,.547,,.256,,,,,,,,nixonno01,norm-nixon-1
905,1977-78,Jackson State,SWAC,24,,,.540,,.404,,,,,,,,norrisy01,sylvester-norris-1
906,1967-68,Villanova,Ind,26,,,.509,,.687,,,,,,,,ohanlfr01,fran-ohanlon-1
907,1968-69,Villanova,Ind,26,,,.413,,.295,,,,,,,,ohanlfr01,fran-ohanlon-1
908,1969-70,Villanova,Ind,29,,,.494,,.306,,,,,,,,ohanlfr01,fran-ohanlon-1
909,1976-77,UNC,ACC,33,,,.615,,.527,,,,,,,,okoremi01,mike-okoren-1
910,1977-78,UNC,ACC,27,,,.675,,.606,,,,,,,,okoremi01,mike-okoren-1
911,1978-79,UNC,ACC,28,,,.594,,.726,,,,,,,,okoremi01,mike-okoren-1
912,1979-80,UNC,ACC,29,,1006,.574,,.510,,,,,,16.5,,okoremi01,mike-okoren-1
913,1974-75,Minnesota,Big Ten,26,,,.569,,.486,,,,,,,,olberma01,mark-olberding-1
914,1976-77,Seattle,WCAC,27,,,.495,,.170,,,,,,,,oldhaja01,jawann-oldham-1
915,1977-78,Seattle,WCAC,24,,,.505,,.263,,,,,,,,oldhaja01,jawann-oldham-1
916,1978-79,Seattle,WCAC,24,,,.535,,.199,,,,,,,,oldhaja01,jawann-oldham-1
917,1979-80,Seattle,WCAC,27,,,.570,,.429,,,,,,,,oldhaja01,jawann-oldham-1
918,1973-74,Villanova,Ind,26,,,.483,,.630,,,,,,,,olivejo01,john-olive-1
919,1974-75,Villanova,Ind,27,,,.484,,.474,,,,,,,,olivejo01,john-olive-1
