,season,age,team_id,lg_id,pos,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,id
54,1975-76,25,NOJ,NBA,SG,30,,584,5.5,12.7,.436,2.2,3.8,.571,0.3,2.0,2.3,6.0,2.1,0.5,,4.2,13.3,,,100,boydfr01
55,1976-77,26,NOJ,NBA,PG,47,,1212,7.2,15.0,.478,2.9,3.6,.806,0.7,2.6,3.3,5.4,1.6,0.2,,2.9,17.3,,,102,boydfr01
56,1977-78,27,NOJ,NBA,SG,21,,363,5.4,13.4,.400,1.7,2.7,.636,0.2,2.1,2.3,5.9,1.1,0.4,2.4,2.8,12.5,,90,105,boydfr01
57,1977-78,25,DET,NBA,SG,7,,16,8.4,27.9,.300,8.4,11.1,.750,2.8,8.4,11.1,5.6,2.8,0.0,2.8,8.4,25.1,,91,99,brittwa01
58,1974-75,21,MIL,NBA,SG,73,,1639,6.7,14.7,.455,3.6,5.3,.685,1.0,3.2,4.2,6.3,0.9,0.5,,5.0,17.0,,,102,brokaga01
59,1975-76,22,MIL,NBA,SG,75,,1468,7.5,16.3,.457,5.0,7.1,.700,0.8,3.1,3.9,7.7,1.2,0.5,,4.3,19.9,,,103,brokaga01
60,1976-77,23,TOT,NBA,SG,80,,1487,7.4,17.2,.429,5.0,6.7,.744,0.7,3.1,3.8,7.0,1.1,1.1,,5.0,19.8,,,104,brokaga01
61,1976-77,23,MIL,NBA,SG,41,,891,6.5,16.1,.401,5.2,6.8,.766,0.5,2.7,3.2,5.5,1.1,1.1,,4.2,18.2,,,106,brokaga01
62,1976-77,23,CLE,NBA,SG,39,,596,8.9,19.0,.467,4.6,6.5,.707,1.0,3.7,4.7,9.3,1.1,1.0,,6.3,22.4,,,101,brokaga01
63,1977-78,24,BUF,NBA,SG,13,,130,6.4,15.2,.419,6.4,8.5,.750,1.1,3.2,4.2,7.1,1.1,1.8,4.2,3.9,19.1,,98,106,brokaga01
64,1978-79,22,NYK,NBA,SF,12,,97,4.2,12.3,.346,4.7,5.7,.833,4.2,3.8,8.0,1.9,1.4,1.4,2.4,4.7,13.2,,99,107,bunchgr01
65,1973-74,22,BUF,NBA,SG,59,,693,5.5,11.5,.476,3.3,4.9,.671,1.6,2.5,4.0,3.4,1.9,0.6,,5.6,14.2,,,102,charlke01
66,1974-75,23,BUF,NBA,SG,79,,1690,6.3,13.6,.466,3.2,3.8,.822,1.8,2.5,4.3,4.5,2.3,0.5,,4.4,15.8,,,100,charlke01
67,1975-76,24,BUF,NBA,SG,81,,2247,6.5,14.2,.456,3.2,4.0,.785,1.1,3.2,4.3,4.0,2.4,0.9,,5.1,16.1,,,99,charlke01
68,1976-77,25,ATL,NBA,SG,82,,2487,6.5,15.8,.414,3.8,4.7,.801,0.8,2.3,3.1,5.4,2.6,0.8,,4.4,16.9,,,102,charlke01
69,1977-78,26,ATL,NBA,SG,21,,520,6.5,16.4,.397,3.8,4.5,.840,0.5,1.6,2.1,7.3,2.2,0.4,3.3,4.7,16.8,,95,103,charlke01
70,1973-74,23,HOU,NBA,PF,58,,1075,5.4,10.5,.512,2.0,3.1,.635,3.4,7.2,10.6,3.2,1.6,0.8,,6.8,12.7,,,100,colemec01
71,1974-75,24,NOJ,NBA,PF,77,,2176,5.1,11.5,.445,2.3,3.3,.699,3.8,7.3,11.1,2.1,1.7,0.7,,5.6,12.5,,,98,colemec01
