,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
393,1965-66,25,SFW,NBA,PF,55,566,9.6,.436,,.459,,,,4.0,,,,-0.2,0.6,0.4,.037,olsenbu01
394,1966-67,26,SFW,NBA,PF,40,348,13.4,.449,,.347,,,,12.1,,,,-0.1,0.5,0.5,.068,olsenbu01
395,1967-68,27,SEA,NBA,PF,73,897,8.5,.444,,.218,,,,10.3,,,,-0.2,0.5,0.2,.012,olsenbu01
396,1968-69,28,TOT,NBA,PF,17,113,6.7,.341,,.429,,,,12.5,,,,-0.3,0.1,-0.2,-0.077,olsenbu01
397,1968-69,28,BOS,NBA,PF,7,43,7.8,.323,,.316,,,,12.6,,,,-0.2,0.1,-0.1,-0.065,olsenbu01
398,1968-69,28,DET,NBA,PF,10,70,6.1,.354,,.522,,,,12.5,,,,-0.1,0.0,-0.1,-0.084,olsenbu01
399,1969-70,29,KEN,ABA,PF,84,1375,11.5,.474,.012,.221,,,11.9,23.6,23.8,12.5,,0.3,2.5,2.8,.099,olsenbu01
400,1968-69,22,BAL,NBA,PG,64,916,3.2,.332,,.244,,,,6.1,,,,-1.8,1.1,-0.7,-0.034,ormsba01
401,1969-70,23,TOT,ABA,PG,77,2091,7.9,.429,.037,.397,,,7.1,8.1,15.3,16.7,,-1.6,1.4,-0.2,-0.004,ormsba01
402,1969-70,23,INA,ABA,PG,9,143,12.0,.496,.075,.650,,,11.7,11.9,13.5,15.9,,0.1,0.2,0.3,.084,ormsba01
403,1969-70,23,PTP,ABA,PG,68,1948,7.6,.425,.035,.382,,,6.7,7.8,15.5,16.7,,-1.6,1.2,-0.4,-0.011,ormsba01
404,1967-68,,MNM,ABA,SF,63,1191,17.2,.443,.000,.558,,,17.1,10.6,12.1,19.0,,0.0,4.1,4.2,.168,palmeer01
405,1968-69,,DNR,ABA,,2,5,-10.8,.000,.000,.000,,,0.0,0.0,0.0,7.5,,0.0,0.0,0.0,-0.220,parksch01
406,1967-68,24,PTP,ABA,SF,40,374,11.4,.460,.023,.158,,,13.1,5.3,11.8,16.1,,0.1,0.4,0.5,.068,parksri01
407,1967-68,24,DLC,ABA,C,51,759,10.3,.499,.000,.311,,,12.3,4.0,17.1,14.5,,0.7,0.3,1.0,.065,peekri01
408,1967-68,24,MNM,ABA,PG,67,2125,9.8,.448,.203,.204,,,4.5,9.3,15.0,18.7,,0.3,4.1,4.4,.099,perryro01
409,1968-69,25,TOT,ABA,PG-SG,74,2385,10.3,.456,.181,.275,,,4.5,14.4,14.5,21.0,,-0.3,1.7,1.4,.028,perryro01
410,1968-69,25,MMF,ABA,PG,24,708,6.6,.404,.147,.304,,,4.8,11.5,15.2,20.4,,-1.0,0.5,-0.5,-0.031,perryro01
411,1968-69,25,NYA,ABA,SG,23,812,13.3,.460,.134,.308,,,5.2,16.6,13.1,25.0,,0.0,0.4,0.4,.021,perryro01
412,1968-69,25,INA,ABA,SG,27,865,10.4,.498,.271,.208,,,3.7,14.8,15.4,17.9,,0.7,0.8,1.5,.082,perryro01
413,1969-70,26,TOT,ABA,SG,46,522,10.6,.456,.129,.357,,,4.7,10.9,13.9,26.8,,-0.2,0.5,0.3,.026,perryro01
414,1969-70,26,CAR,ABA,,19,221,11.6,.484,.097,.417,,,3.8,12.2,13.5,24.3,,0.1,0.2,0.3,.067,perryro01
415,1969-70,26,NOB,ABA,SG,27,301,9.9,.438,.148,.320,,,5.3,9.8,14.2,28.7,,-0.3,0.3,0.0,-0.004,perryro01
416,1963-64,25,BAL,NBA,,2,3,20.8,1.000,,.000,,,,,,,,0.0,0.0,0.0,.514,peterme01
