,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,id,cbb_id
851,2000-01,Kent State,MAC,32,0,218,.443,.431,.000,.517,,,,,,,,14.2,,,-0.1,1.9,1.8,.328,edwarjo01,john-edwards-1
852,2001-02,Kent State,MAC,35,6,422,.619,.605,.000,.457,,,,10.0,0.8,,4.3,11.7,13.5,,0.9,2.0,2.8,.266,edwarjo01,john-edwards-1
853,2002-03,Kent State,MAC,31,3,521,.649,.633,.000,.354,,,,,,,,15.7,,,1.7,1.5,3.2,.246,edwarjo01,john-edwards-1
854,2003-04,Kent State,MAC,30,31,775,.558,.529,.000,.404,,,,,,,,15.3,,,1.9,3.9,5.7,.296,edwarjo01,john-edwards-1
855,2007-08,Little Rock,Sun Belt,31,21,570,.511,.483,.258,.517,,,,12.9,6.9,,1.9,17.5,20.2,,0.5,1.5,2.0,.139,edwarsh01,shane-edwards-1
856,2008-09,Little Rock,Sun Belt,31,31,843,.550,.516,.200,.447,,,,11.9,13.7,,2.1,16.7,24.9,,1.8,1.7,3.5,.166,edwarsh01,shane-edwards-1
857,1990-91,Boston College,Big East,30,30,1011,.471,.409,.280,.409,,,,,,,,21.0,,,,,,,eisleho01,howard-eisley-1
858,1991-92,Boston College,Big East,31,,1071,.606,.564,.310,.488,,,,,,,,25.5,,,,,,,eisleho01,howard-eisley-1
859,1992-93,Boston College,Big East,31,,1162,.584,.515,.351,.490,,,,,,,,20.5,,,,,,,eisleho01,howard-eisley-1
860,1993-94,Boston College,Big East,34,,1203,.620,.593,.483,.270,,,,,,,,16.4,,,,,,,eisleho01,howard-eisley-1
861,1995-96,Maryland,ACC,30,18,463,.495,.472,.000,.556,,,,,,,,19.9,,,0.2,1.2,1.4,.119,ekeziob01,obinna-ekezie-1
862,1996-97,Maryland,ACC,32,,858,.580,.502,.000,.689,,,,,,,,,,,1.3,2.4,3.7,.172,ekeziob01,obinna-ekezie-1
863,1997-98,Maryland,ACC,32,,,.539,.484,.000,.702,,,,,,,,,,,1.6,1.9,3.5,,ekeziob01,obinna-ekezie-1
864,1998-99,Maryland,ACC,24,,614,.546,.488,.009,.657,,,,,,,,,,,1.3,1.9,3.1,.204,ekeziob01,obinna-ekezie-1
865,1997-98,UConn,Big East,37,,,.537,.505,.446,.227,,,,,,,,,,,2.5,2.4,5.0,,elamikh01,khalid-el-amin-1
866,1998-99,UConn,Big East,36,,1031,.516,.473,.358,.299,,,,,,,,16.5,,,1.7,2.4,4.1,.158,elamikh01,khalid-el-amin-1
867,1999-00,UConn,Big East,35,,1118,.526,.477,.373,.253,,,,,,,,14.9,,,2.2,2.2,4.4,.157,elamikh01,khalid-el-amin-1
