,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
55,1968-69,28,MIL,NBA,PF,80,2207,16.0,.503,,.335,,,,6.2,,,,,3.1,1.6,4.7,.102,chapple01
56,1969-70,29,MIL,NBA,SF,75,1134,14.9,.504,,.403,,,,6.4,,,,,1.1,1.1,2.1,.090,chapple01
57,1970-71,30,TOT,NBA,PF,48,537,13.4,.511,,.442,,,12.8,4.2,,,,,0.6,0.2,0.9,.076,chapple01
58,1970-71,30,CLE,NBA,,6,86,11.4,.464,,.368,,,10.1,1.8,,,,,0.0,0.0,0.0,.014,chapple01
59,1970-71,30,ATL,NBA,PF,42,451,13.8,.522,,.460,,,13.3,4.7,,,,,0.6,0.2,0.8,.088,chapple01
60,1971-72,31,DLC,ABA,PF,79,1403,15.9,.508,.000,.378,10.4,12.5,11.4,7.5,,9.6,19.5,,1.1,1.8,2.9,.099,chapple01
61,1967-68,24,TOT,ABA,PG,64,1020,7.0,.419,.134,.158,,,4.6,19.0,,21.6,20.1,,-0.5,0.8,0.3,.014,congdje01
62,1967-68,24,ANA,ABA,PG,23,622,7.0,.441,.113,.183,,,5.1,16.7,,23.1,17.4,,0.0,0.2,0.2,.016,congdje01
63,1967-68,24,DNR,ABA,PG,41,398,6.9,.394,.157,.131,,,4.0,22.5,,19.8,24.4,,-0.6,0.7,0.1,.012,congdje01
64,1968-69,25,DNR,ABA,PG,59,979,7.1,.458,.112,.307,,,4.3,17.3,,23.6,15.7,,0.0,0.9,0.9,.046,congdje01
65,1969-70,26,DNR,ABA,PG,83,2461,10.8,.472,.230,.248,,,4.2,22.7,,19.3,16.0,,0.6,3.8,4.3,.085,congdje01
66,1970-71,27,TOT,ABA,PG,80,1562,7.0,.428,.181,.197,,,4.1,20.0,,21.5,16.0,,-1.1,1.8,0.7,.021,congdje01
67,1970-71,27,UTS,ABA,PG,38,983,6.2,.404,.223,.175,,,3.9,19.3,,20.6,17.0,,-1.2,1.4,0.2,.011,congdje01
68,1970-71,27,NYA,ABA,PG,42,579,8.4,.481,.087,.247,,,4.6,21.2,,23.5,14.3,,0.1,0.3,0.4,.037,congdje01
69,1971-72,28,DLC,ABA,PG,20,261,9.8,.422,.081,.233,3.1,7.0,5.0,19.5,,12.1,17.2,,-0.3,0.3,0.0,.006,congdje01
70,1971-72,23,CAR,ABA,,1,12,-3.0,.225,.125,.250,14.7,24.1,19.2,0.0,,10.1,30.3,,-0.1,0.0,-0.1,-0.421,dorsero01
71,1967-68,22,DET,NBA,PF,28,162,6.4,.324,,.347,,,,8.3,,,,,-0.6,0.1,-0.5,-0.136,doveso01
72,1968-69,23,DET,NBA,PF,29,236,13.6,.509,,.360,,,,7.1,,,,,0.3,0.1,0.4,.088,doveso01
73,1969-70,24,NYA,ABA,PF,80,2284,14.7,.500,.013,.384,,,11.4,7.0,,14.8,22.3,,2.1,2.2,4.3,.090,doveso01
74,1970-71,25,NYA,ABA,PF,83,2280,13.9,.499,.014,.271,,,14.5,5.6,,16.6,22.5,,1.5,1.5,3.0,.063,doveso01
75,1971-72,26,NYA,ABA,PF,2,9,3.3,.475,.000,.600,11.1,0.0,5.4,16.3,,24.0,36.0,,0.0,0.0,0.0,.019,doveso01
76,1971-72,22,MMP,ABA,PG,4,13,10.1,.444,.556,.000,0.0,0.0,0.0,12.2,,0.0,25.3,,0.0,0.0,0.0,-0.023,doverje01
77,1971-72,22,NYA,ABA,,1,1,-52.7,,,,0.0,0.0,0.0,0.0,,100.0,39.0,,0.0,0.0,0.0,.008,durhaja01
78,1971-72,22,UTS,ABA,,22,124,9.2,.503,.146,.271,12.4,9.8,11.0,21.7,,28.1,23.2,,0.1,0.1,0.2,.089,fieldbo01
79,1971-72,23,TOT,ABA,PF,12,66,25.1,.537,.000,.029,20.3,23.8,22.2,13.7,,10.4,22.4,,0.1,0.1,0.2,.151,fisheri01
80,1971-72,23,UTS,ABA,,9,59,23.0,.526,.000,.034,17.9,25.0,21.6,7.6,,9.2,21.2,,0.1,0.1,0.2,.131,fisheri01
81,1971-72,23,FLO,ABA,PF,3,7,43.4,.600,.000,.000,40.8,14.1,27.7,64.7,,16.7,33.2,,0.0,0.0,0.0,.318,fisheri01
82,1970-71,25,FLO,ABA,C,70,1151,10.0,.485,.003,.323,,,13.4,6.2,,15.0,16.2,,0.3,0.9,1.1,.048,fulleca01
83,1971-72,26,FLO,ABA,C,6,63,12.4,.510,.000,1.071,10.6,32.9,21.5,12.3,,25.4,16.9,,0.0,0.1,0.1,.086,fulleca01
84,1969-70,22,MIL,NBA,SF,41,292,9.0,.437,,.257,,,,11.0,,,,,-0.2,0.3,0.1,.011,greacbo01
85,1970-71,23,MIL,NBA,SF,2,43,3.6,.166,,.583,,,6.6,30.8,,,,,-0.2,0.1,-0.2,-0.189,greacbo01
86,1971-72,24,NYA,ABA,SF,4,20,0.7,.500,.000,.000,5.0,4.7,4.9,5.9,,50.0,7.8,,0.0,0.0,0.0,.026,greacbo01
87,1971-72,24,PTC,ABA,C,25,335,10.0,.459,.000,.225,13.4,20.2,16.8,4.0,,15.1,14.4,,-0.1,0.0,-0.1,-0.020,grossmi01
88,1967-68,24,DNR,ABA,SF,74,1364,17.5,.537,.000,.456,,,11.2,6.8,,15.1,18.3,,3.1,2.0,5.1,.179,hammoju01
89,1968-69,25,DNR,ABA,SF,78,2335,15.0,.578,.000,.421,,,11.7,6.9,,17.6,13.8,,4.3,2.2,6.6,.135,hammoju01
90,1969-70,26,DNR,ABA,SF,69,1847,15.9,.539,.002,.368,,,11.2,8.0,,17.1,18.6,,3.0,2.7,5.7,.147,hammoju01
91,1970-71,27,DNR,ABA,SF,83,2082,17.9,.572,.000,.450,,,10.8,6.4,,15.3,19.8,,4.8,1.9,6.7,.155,hammoju01
92,1971-72,28,DNR,ABA,SF,25,411,13.4,.503,.000,.357,10.3,15.2,12.6,9.4,,15.6,17.5,,0.2,0.6,0.8,.097,hammoju01
93,1962-63,23,SFW,NBA,PF,66,1387,7.8,.396,,.286,,,,,,,,,-1.9,1.1,-0.8,-0.029,hightwa01
94,1963-64,24,SFW,NBA,PF,79,2536,12.0,.448,,.322,,,,,,,,,0.0,4.0,4.0,.077,hightwa01
95,1964-65,25,TOT,NBA,PF,75,1547,10.5,.431,,.446,,,,4.7,,,,,-0.5,1.2,0.7,.023,hightwa01
96,1964-65,25,SFW,NBA,PF,48,1037,10.1,.429,,.437,,,,5.0,,,,,-0.4,1.1,0.7,.033,hightwa01
97,1964-65,25,BAL,NBA,PF,27,510,11.2,.434,,.466,,,,4.1,,,,,-0.1,0.1,0.0,.003,hightwa01
98,1965-66,26,BAL,NBA,PF,24,460,10.6,.415,,.419,,,,9.5,,,,,-0.4,0.3,0.0,-0.003,hightwa01
99,1966-67,27,TOT,NBA,PF,72,1310,10.7,.412,,.370,,,,6.3,,,,,-1.5,1.3,-0.2,-0.007,hightwa01
100,1966-67,27,BAL,NBA,PF,43,746,10.2,.407,,.403,,,,6.0,,,,,-0.9,0.6,-0.3,-0.020,hightwa01
101,1966-67,27,DET,NBA,PF,29,564,11.4,.418,,.332,,,,6.7,,,,,-0.6,0.7,0.1,.011,hightwa01
102,1967-68,28,DNR,ABA,PF,74,2459,17.7,.470,.005,.482,,,10.2,8.9,,10.8,24.0,,2.1,3.6,5.8,.112,hightwa01
103,,29,DNR,ABA,PF,67,2318,14.7,.491,.003,.559,,,12.6,11.3,,15.6,18.2,,1.6,2.6,4.2,.086,hightwa01
104,1969-70,30,LAS,ABA,PF,27,961,16.9,.512,.005,.422,,,11.6,10.7,,13.4,21.2,,1.1,1.0,2.2,.108,hightwa01
105,1970-71,31,TOT,ABA,PF,68,2355,13.3,.470,.004,.426,,,11.1,10.2,,12.6,17.6,,-0.1,3.0,2.9,.060,hightwa01
106,1970-71,31,UTS,ABA,PF,35,1135,13.1,.463,.002,.419,,,10.8,11.6,,14.2,19.0,,-0.2,1.9,1.7,.072,hightwa01
107,1970-71,31,TEX,ABA,PF,33,1220,13.4,.477,.005,.432,,,11.5,8.9,,10.9,16.2,,0.1,1.1,1.2,.048,hightwa01
108,1971-72,32,CAR,ABA,PF,13,141,13.4,.438,.031,.563,10.7,17.8,14.1,9.7,,13.1,24.0,,-0.2,0.2,0.0,-0.001,hightwa01
109,1967-68,22,PTP,ABA,,16,146,7.3,.385,.171,.171,,,9.6,13.1,,10.9,23.4,,-0.3,0.2,-0.1,-0.035,kellyar01
110,1968-69,23,MNP,ABA,SG,68,1066,6.6,.423,.247,.242,,,6.5,7.8,,15.9,18.6,,-0.9,1.3,0.3,.015,kellyar01
111,1969-70,24,PTP,ABA,PG,70,2391,12.0,.537,.095,.330,,,4.7,12.5,,19.0,16.6,,3.4,1.5,4.9,.098,kellyar01
112,1970-71,25,TOT,ABA,,22,180,6.8,.596,.086,.886,,,5.9,11.2,,30.2,13.7,,0.3,0.1,0.4,.113,kellyar01
113,1970-71,25,PTC,ABA,,17,135,9.6,.593,.111,.852,,,7.5,14.9,,25.9,13.0,,0.2,0.1,0.3,.120,kellyar01
114,1970-71,25,CAR,ABA,,5,45,-1.7,.608,.000,1.000,,,1.0,0.0,,41.0,15.7,,0.1,0.0,0.1,.093,kellyar01
115,1971-72,26,TOT,ABA,SG,12,112,6.6,.488,.103,.138,4.1,8.0,6.1,15.2,,20.6,12.8,,0.0,0.0,0.0,.021,kellyar01
116,1971-72,26,PTC,ABA,,8,71,11.0,.551,.150,.200,5.2,5.1,5.2,20.6,,21.6,14.3,,0.1,0.0,0.1,.057,kellyar01
117,1971-72,26,INA,ABA,SG,4,41,-0.8,.333,.000,.000,2.3,12.9,7.8,6.0,,18.2,10.4,,-0.1,0.0,0.0,-0.042,kellyar01
