,season,age,team_id,lg_id,pos,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,id
160,1973-74,25,SEA,NBA,PF,35,,933,5.7,12.1,.467,2.1,4.5,.469,3.3,8.2,11.5,4.4,1.2,1.0,4.2,13.4,,,98,hummejo01
161,1974-75,26,SEA,NBA,PF,43,,568,3.3,8.7,.380,1.1,4.1,.275,2.2,6.1,8.3,3.0,0.6,0.6,5.0,7.7,,,100,hummejo01
162,1975-76,27,SEA,NBA,PF,29,,364,3.9,8.2,.478,2.1,5.0,.415,2.6,6.9,9.4,3.1,0.7,1.1,8.7,9.9,,,100,hummejo01
163,1974-75,22,TOT,NBA,SG,49,,802,4.2,10.1,.415,2.1,3.6,.581,1.1,2.9,4.0,5.5,1.3,0.5,7.5,10.4,,,101,jacksgr01
164,1974-75,22,NYK,NBA,SG,5,,27,6.9,17.2,.400,0.0,0.0,,3.4,0.0,3.4,5.2,0.0,0.0,8.6,13.8,,,106,jacksgr01
165,1974-75,22,PHO,NBA,SG,44,,775,4.1,9.9,.416,2.1,3.7,.581,1.0,3.0,4.0,5.5,1.4,0.5,7.4,10.3,,,101,jacksgr01
166,1974-75,23,SEA,NBA,SF,56,,939,4.7,11.7,.397,2.5,3.4,.718,2.6,3.9,6.4,1.5,1.3,0.2,6.1,11.8,,,101,jackswa01
167,1973-74,27,BUF,NBA,PF,74,,1304,5.6,12.1,.467,3.5,4.9,.713,3.2,7.6,10.8,4.7,1.2,0.6,5.1,14.8,,,100,kauffbo01
168,1974-75,28,ATL,NBA,PF,73,,797,6.4,14.8,.433,3.3,4.8,.702,3.8,6.5,10.3,4.6,1.1,0.2,5.8,16.1,,,101,kauffbo01
169,1973-74,24,DET,NBA,SG,46,,298,5.3,14.5,.365,2.3,3.3,.682,2.3,2.4,4.7,2.7,1.8,0.2,6.8,12.9,,,97,kelsobe01
170,1974-75,24,GSW,NBA,SF,24,,121,11.4,28.4,.403,6.6,8.1,.818,7.0,6.3,13.3,2.2,4.1,1.1,8.1,29.5,,,93,kendrfr01
171,1973-74,31,PHI,NBA,PF,75,,1592,6.0,12.7,.474,3.5,5.1,.686,5.1,10.2,15.4,2.0,1.4,0.6,5.5,15.6,,,96,kimbato01
172,1974-75,32,NOJ,NBA,PF,3,,90,3.4,11.2,.304,2.9,3.4,.857,3.9,8.8,12.7,2.0,1.0,0.0,5.9,9.8,,,99,kimbato01
173,1973-74,35,KCO,NBA,SF,77,,2091,8.7,18.1,.478,4.5,5.9,.772,2.7,5.6,8.3,2.4,1.7,0.3,3.4,21.9,,,101,kojisdo01
174,1974-75,36,KCO,NBA,SF,21,,232,9.1,19.4,.469,4.0,5.9,.667,2.8,5.0,7.7,2.0,2.4,0.2,6.1,22.2,,,97,kojisdo01
175,1973-74,32,KCO,NBA,PG,44,,830,4.3,10.5,.406,1.8,2.1,.868,0.5,1.8,2.3,5.3,1.7,0.2,4.5,10.3,,,103,komivho01
176,1974-75,23,KCO,NBA,C,67,,413,3.7,9.2,.398,2.7,3.2,.828,3.5,9.8,13.2,4.6,0.7,0.7,7.1,10.0,,,97,kosmale01
177,1975-76,24,KCK,NBA,C,9,,93,3.9,9.8,.400,2.0,3.4,.571,4.4,7.8,12.2,5.9,1.5,2.0,5.4,9.8,,,98,kosmale01
178,1973-74,22,CAP,NBA,PF,49,,573,4.6,10.5,.444,1.8,2.5,.719,4.1,5.7,9.8,2.0,1.7,0.6,6.5,11.1,,,95,kozelto01
179,1974-75,23,WSB,NBA,PF,73,,754,3.6,10.0,.359,1.9,2.2,.861,3.0,5.4,8.4,2.5,1.7,0.3,7.5,9.1,,,94,kozelto01
180,1975-76,24,WSB,NBA,PF,67,,584,3.8,7.8,.485,1.5,2.4,.633,1.5,5.0,6.5,2.6,1.5,0.3,5.8,9.1,,,97,kozelto01
181,1975-76,22,WSB,NBA,SG,25,,72,4.5,19.2,.233,3.2,3.8,.833,3.2,6.4,9.6,5.1,1.3,0.0,12.8,12.2,,,97,kroppto01
182,1976-77,23,CHI,NBA,SG,53,,480,7.3,15.2,.480,2.8,4.1,.683,2.1,2.6,4.7,3.9,1.8,0.1,7.7,17.4,,,100,kroppto01
183,1973-74,27,DET,NBA,SG,50,,980,7.1,16.6,.427,6.4,7.5,.848,1.6,3.6,5.2,4.5,1.7,0.1,3.6,20.6,,,97,lantzst01
184,1974-75,28,TOT,NBA,SG,75,,1783,5.7,14.1,.406,4.8,5.8,.838,2.2,2.7,4.9,4.7,1.4,0.3,4.1,16.3,,,103,lantzst01
185,1974-75,28,NOJ,NBA,SG,19,,353,4.8,14.3,.339,5.8,6.6,.887,0.9,2.1,3.0,3.7,1.5,0.2,3.5,15.5,,,103,lantzst01
186,1974-75,28,LAL,NBA,SG,56,,1430,6.0,14.1,.424,4.6,5.6,.824,2.6,2.8,5.4,5.0,1.4,0.3,4.2,16.5,,,104,lantzst01
187,1975-76,29,LAL,NBA,PG,53,,853,4.4,10.6,.417,4.2,4.6,.899,1.5,3.7,5.2,4.0,1.4,0.2,5.5,13.0,,,102,lantzst01
188,1975-76,22,CHI,NBA,SG,71,,1570,8.7,21.0,.412,2.7,3.7,.725,1.6,5.1,6.7,1.7,1.7,0.3,2.7,20.0,,,99,laskojo01
189,1976-77,23,CHI,NBA,SG,47,,562,6.4,18.1,.354,2.3,2.6,.900,1.4,4.0,5.4,3.8,2.7,0.2,1.9,15.1,,,97,laskojo01
190,1973-74,29,GSW,NBA,PF,54,,1642,3.5,7.6,.454,1.7,2.9,.579,5.0,11.0,16.0,1.8,0.7,0.5,4.8,8.6,,,98,leecl01
191,1974-75,30,TOT,NBA,C-PF,80,,2456,3.3,8.1,.412,2.2,3.3,.672,5.4,8.8,14.3,2.0,0.6,0.4,5.4,8.9,,,99,leecl01
192,1974-75,30,ATL,NBA,PF,9,,177,3.1,9.2,.333,8.2,9.9,.821,6.1,11.7,17.9,2.0,0.3,1.0,6.4,14.3,,,98,leecl01
193,1974-75,30,PHI,NBA,C,71,,2279,3.3,8.0,.419,1.8,2.8,.630,5.4,8.6,14.0,2.0,0.6,0.3,5.3,8.4,,,99,leecl01
194,1975-76,31,PHI,NBA,C,79,,1421,3.9,8.9,.436,2.0,3.0,.663,5.2,9.1,14.2,1.9,0.7,0.8,5.9,9.7,,,98,leecl01
195,1973-74,24,MIL,NBA,SF,36,,166,10.4,25.8,.404,3.0,4.4,.688,4.4,6.6,11.0,5.5,3.0,0.0,8.0,23.9,,,92,leeru01
196,1974-75,25,NOJ,NBA,SF,15,,139,9.2,24.0,.382,2.2,4.4,.500,4.7,5.1,9.8,2.2,3.5,0.9,5.4,20.5,,,96,leeru01
197,1974-75,22,DET,NBA,SG,38,,272,9.7,25.1,.385,2.8,4.4,.640,2.5,2.1,4.6,4.4,1.4,1.6,5.4,22.1,,,102,ligonbi01
198,1973-74,31,CHI,NBA,PF,82,,3292,10.2,24.3,.417,4.5,5.5,.818,2.5,4.3,6.8,1.8,1.2,0.4,3.1,24.8,,,97,lovebo01
199,1974-75,32,CHI,NBA,PF,61,,2401,10.8,25.2,.429,5.3,6.4,.830,2.0,5.7,7.7,2.0,1.3,0.2,4.2,26.9,,,96,lovebo01
200,1975-76,33,CHI,NBA,SF,76,,2823,9.2,23.6,.390,6.1,7.7,.801,3.2,5.4,8.6,2.5,1.1,0.2,4.0,24.6,,,100,lovebo01
201,1976-77,34,TOT,NBA,SF,59,,1174,6.4,16.9,.379,4.3,5.2,.826,3.1,4.7,7.8,1.9,0.9,0.2,4.7,17.1,,,101,lovebo01
