,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,bpm-dum,obpm,dbpm,bpm,id,cbb_id
1093,2012-13,Syracuse,Big East,34,11,1003,22.8,.586,.567,.589,.159,381,4.9,16.0,10.2,7.7,3.0,3.5,9.2,21.3,,3.2,2.3,5.5,.219,,7.0,3.9,10.9,southja01,james-southerland-1
1094,2012-13,Michigan,Big Ten,39,33,1190,17.6,.634,.597,.611,.292,380,2.1,10.4,6.1,7.6,1.2,0.8,11.5,17.3,,3.4,1.1,4.5,.153,,6.8,1.5,8.2,stausni01,nik-stauskas-1
1095,2013-14,Michigan,Big Ten,36,36,1281,22.7,.642,.586,.528,.518,594,1.6,8.8,5.3,18.8,1.0,0.9,12.0,24.4,,5.0,1.1,6.2,.193,,9.0,0.2,9.2,stausni01,nik-stauskas-1
1096,2009-10,Memphis,CUSA,33,3,261,18.0,.593,.588,.050,.600,73,15.9,13.4,14.6,4.3,1.8,3.2,7.2,10.9,,0.8,0.4,1.1,.174,,,,,stephdj01,dj-stephens-1
1097,2010-11,Memphis,CUSA,32,4,358,21.8,.640,.647,.026,.256,109,12.3,14.6,13.5,8.0,2.6,7.5,14.6,14.1,,0.9,0.7,1.5,.169,,2.4,5.6,8.0,stephdj01,dj-stephens-1
1098,2011-12,Memphis,CUSA,28,0,233,19.8,.675,.667,.143,.381,60,8.0,17.9,13.3,0.8,2.0,9.5,10.8,12.4,,0.6,0.5,1.1,.186,,2.0,5.3,7.3,stephdj01,dj-stephens-1
1099,2012-13,Memphis,CUSA,36,28,851,24.8,.672,.668,.212,.400,252,10.2,23.1,16.6,5.2,2.2,11.4,10.6,13.0,,2.5,2.2,4.6,.217,,3.3,8.2,11.5,stephdj01,dj-stephens-1
1100,2006-07,UNC,ACC,38,0,242,,.509,.500,.000,.583,,,,,,,,17.3,,,0.1,0.9,1.0,.167,,,,,stephal01,alex-stepheson-1
1101,2007-08,UNC,ACC,37,0,536,,.529,.539,.000,.367,,,,16.7,2.0,,3.9,18.9,15.2,,0.4,1.9,2.4,.177,,,,,stephal01,alex-stepheson-1
1102,2009-10,USC,Pac-10,28,26,723,17.3,.483,.475,.000,.441,241,16.2,17.6,16.9,2.7,0.4,6.8,16.7,21.9,,0.6,1.7,2.3,.125,,,,,stephal01,alex-stepheson-1
