,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
1280,1987-88,Michigan,Big Ten,34,20,748,.640,.621,.000,.313,,,,,,,,15.2,,vaughlo01,loy-vaught-1
1281,1988-89,Michigan,Big Ten,37,21,851,.682,.664,.016,.266,,,,,,,,12.7,,vaughlo01,loy-vaught-1
1282,1989-90,Michigan,Big Ten,31,31,930,.629,.595,.003,.323,,,,,,,,11.0,,vaughlo01,loy-vaught-1
1283,1984-85,Notre Dame,Ind,27,,185,.600,,,.463,,,,,,,,,,vocega01,gary-voce-1
1284,1985-86,Notre Dame,Ind,22,0,188,.569,,,.545,,,,,,,,,,vocega01,gary-voce-1
1285,1986-87,Notre Dame,Ind,32,,903,.580,.524,.000,.553,,,,,,,,,,vocega01,gary-voce-1
1286,1987-88,Notre Dame,Ind,27,,877,.600,.546,.005,.454,,,,,,,,,,vocega01,gary-voce-1
1287,1983-84,Oklahoma,Big 8,6,0,45,.530,,,.875,,,,5.5,25.5,,0.0,8.1,,wadema01,mark-wade-1
1288,1985-86,UNLV,PCAA,38,35,1054,.521,,,1.090,,,,,,,,39.4,,wadema01,mark-wade-1
1289,1986-87,UNLV,PCAA,38,38,1169,.545,.500,.423,.345,,,,,,,,36.0,,wadema01,mark-wade-1
1290,1985-86,Middle Tennessee,OVC,34,,748,.442,,,.366,,,,,,,,32.3,,washidu01,duane-washington-1
1291,1986-87,Middle Tennessee,OVC,29,29,1003,.554,.493,.054,.410,,,,,,,,25.8,,washidu01,duane-washington-1
1292,1988-89,Southern Miss,Metro,27,,915,.562,.547,.011,.559,,,,,,,,15.5,,weathcl01,clarence-weatherspoon-1
1293,1989-90,Southern Miss,Metro,32,,1166,.635,.605,.006,.678,,,,,,,,14.0,,weathcl01,clarence-weatherspoon-1
1294,1990-91,Southern Miss,Metro,29,29,1019,.634,.600,.042,.486,,,,,,,,15.4,,weathcl01,clarence-weatherspoon-1
1295,1991-92,Southern Miss,Metro,29,29,1057,.611,.590,.121,.444,,,,,,,,12.6,,weathcl01,clarence-weatherspoon-1
1296,1988-89,Alabama,SEC,22,0,92,.676,.786,.000,.786,,,,,,,,29.4,,webbma01,marcus-webb-1
1297,1989-90,Alabama,SEC,29,7,323,.550,.522,.000,.444,,,,10.6,9.6,,3.4,19.3,20.8,webbma01,marcus-webb-1
1298,1990-91,Alabama,SEC,33,7,571,.544,.531,.000,.338,,,,,,,,19.2,,webbma01,marcus-webb-1
1299,1983-84,Washington,Pac-10,31,23,947,.587,,,.376,,,,,,,,16.5,,welpch01,chris-welp-1
1300,1984-85,Washington,Pac-10,32,,971,.601,,,.367,,,,,,,,19.6,,welpch01,chris-welp-1
1301,1985-86,Washington,Pac-10,31,31,1053,.578,,,.406,,,,,,,,12.9,,welpch01,chris-welp-1
1302,1986-87,Washington,Pac-10,35,35,1143,.628,.594,.000,.478,,,,,,,,14.4,,welpch01,chris-welp-1
1303,1988-89,St. John's (NY),Big East,29,,774,.522,.495,.011,.316,,,,,,,,26.1,,werdaro01,robert-werdann-1
1304,1989-90,St. John's (NY),Big East,34,34,990,.542,.504,.000,.500,,,,,,,,20.8,,werdaro01,robert-werdann-1
1305,1990-91,St. John's (NY),Big East,32,,943,.552,.496,.004,.560,,,,,,,,21.5,,werdaro01,robert-werdann-1
1306,1991-92,St. John's (NY),Big East,12,,286,.519,.460,.000,.598,,,,,,,,19.5,,werdaro01,robert-werdann-1
1307,1989-90,Baylor,SWC,16,,394,.617,.549,.418,.545,,,,,,,,20.7,,wesleda01,david-wesley-1
1308,1990-91,Baylor,SWC,26,,837,.559,.486,.363,.475,,,,,,,,21.4,,wesleda01,david-wesley-1
1309,1991-92,Baylor,SWC,28,28,1020,.597,.526,.403,.566,,,,,,,,17.1,,wesleda01,david-wesley-1
1310,1985-86,Villanova,Big East,37,,995,.539,,,.287,,,,,,,,18.3,,westdo01,doug-west-1
1311,1986-87,Villanova,Big East,31,,1022,.537,.500,.114,.343,,,,,,,,11.9,,westdo01,doug-west-1
1312,1987-88,Villanova,Big East,37,,1281,.591,.567,.330,.293,,,,,,,,14.1,,westdo01,doug-west-1
1313,1988-89,Villanova,Big East,33,,1137,.555,.531,.363,.256,,,,,,,,12.8,,westdo01,doug-west-1
1314,1983-84,Pepperdine,WCAC,28,,559,.569,,,.351,,,,,,,,14.5,,whiteer01,eric-white-1
