,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,id
13852,2009-10,25,LAL,NBA,SF,31,241,7.4,.418,.247,.094,4.7,10.1,7.4,11.3,0.6,0.6,10.2,18.3,,-0.2,0.2,0.0,.009,,-4.4,-1.8,-6.2,-0.3,morriad01
13853,1989-90,22,PHO,NBA,SG,36,153,4.2,.443,.103,.441,5.4,8.8,7.2,9.7,0.6,0.0,22.1,28.1,,-0.5,0.1,-0.3,-0.106,,-7.5,-3.5,-11.0,-0.3,morrimi01
13854,2008-09,23,GSW,NBA,SG,67,1515,14.7,.588,.345,.172,5.6,8.7,7.1,8.2,1.2,0.5,8.3,17.7,,3.0,0.0,3.0,.096,,1.9,-2.9,-1.0,0.4,morroan01
13855,2009-10,24,GSW,NBA,SG,69,2018,14.0,.597,.437,.162,3.3,11.1,7.1,7.6,1.5,0.6,10.0,17.8,,3.0,0.6,3.5,.084,,1.4,-1.9,-0.5,0.7,morroan01
13856,2010-11,25,NJN,NBA,SG,58,1856,12.1,.573,.419,.173,2.3,8.8,5.5,6.3,0.5,0.3,7.5,18.0,,2.6,0.4,3.0,.078,,1.1,-2.3,-1.2,0.4,morroan01
13857,2011-12,26,NJN,NBA,SG,62,1636,13.1,.531,.435,.158,2.1,7.0,4.5,6.8,1.5,0.4,9.0,21.6,,1.7,0.0,1.7,.051,,0.4,-3.4,-3.0,-0.4,morroan01
13858,2012-13,27,TOT,NBA,SG,41,383,12.0,.530,.297,.152,3.3,5.6,4.5,5.6,1.8,0.2,4.9,19.6,,0.4,0.3,0.7,.084,,-1.1,-2.8,-3.9,-0.2,morroan01
13859,2012-13,27,ATL,NBA,SG,24,301,12.3,.526,.342,.162,3.9,6.0,4.9,4.8,2.1,0.3,3.3,18.9,,0.4,0.3,0.6,.100,,-0.7,-2.3,-3.0,-0.1,morroan01
13860,2012-13,27,DAL,NBA,SG,17,82,10.9,.545,.147,.118,1.4,4.0,2.7,8.3,0.6,0.0,10.1,22.1,,0.0,0.0,0.0,.028,,-2.6,-4.8,-7.4,-0.1,morroan01
13861,2013-14,28,NOP,NBA,SG,76,1426,13.9,.570,.375,.167,2.3,9.2,5.7,6.7,1.4,0.7,8.4,19.4,,2.1,0.3,2.4,.081,,0.8,-3.1,-2.4,-0.1,morroan01
13862,2014-15,29,OKC,NBA,SG,74,1806,14.8,.604,.528,.145,2.4,9.1,5.8,5.2,1.5,0.5,5.5,16.5,,4.4,1.2,5.7,.151,,2.4,-1.8,0.6,1.2,morroan01
13863,2015-16,30,OKC,NBA,SG,68,926,10.7,.543,.613,.117,1.2,5.8,3.6,3.7,1.2,0.4,4.6,16.9,,1.4,0.5,1.9,.097,,0.5,-3.2,-2.7,-0.2,morroan01
13864,2016-17,31,TOT,NBA,SG,49,714,10.1,.505,.528,.147,1.9,2.9,2.4,5.2,1.7,0.2,2.2,16.4,,0.7,0.5,1.2,.083,,-1.2,-3.1,-4.3,-0.4,morroan01
13865,2016-17,31,OKC,NBA,SG,40,627,9.2,.491,.534,.117,1.9,3.2,2.6,4.5,1.7,0.3,2.5,16.3,,0.4,0.4,0.9,.069,,-1.6,-2.9,-4.5,-0.4,morroan01
13866,2016-17,31,CHI,NBA,SG,9,87,16.0,.606,.483,.379,1.2,1.2,1.2,10.4,1.2,0.0,0.0,17.0,,0.3,0.0,0.3,.190,,2.0,-4.4,-2.4,0.0,morroan01
13867,1994-95,23,GSW,NBA,PG,41,395,11.0,.502,.194,.659,5.8,10.5,8.1,6.7,1.4,2.6,14.0,20.7,,0.0,0.2,0.2,.025,,-3.7,-1.3,-5.1,-0.3,mortodw01
13868,1989-90,22,CLE,NBA,SG,37,402,5.9,.388,.186,.385,1.9,7.0,4.5,24.2,2.3,0.6,21.3,25.8,,-1.3,0.4,-0.9,-0.109,,-7.1,-1.9,-9.0,-0.7,mortojo01
13869,1990-91,23,CLE,NBA,SF,66,1207,12.2,.533,.044,.507,4.0,5.9,5.0,27.9,2.5,0.9,24.2,16.0,,0.5,1.0,1.5,.058,,-2.2,-0.8,-3.0,-0.3,mortojo01
13870,1991-92,24,TOT,NBA,SF-SG,25,270,9.7,.483,.172,.409,2.5,8.3,5.4,17.3,2.4,0.2,20.3,21.5,,-0.2,0.2,-0.1,-0.009,,-3.9,-2.0,-5.9,-0.3,mortojo01
13871,1991-92,24,CLE,NBA,SG,4,54,6.7,.439,.083,.750,6.4,8.0,7.2,11.4,0.9,0.0,20.0,16.1,,0.0,0.0,0.0,-0.006,,-4.6,-1.9,-6.6,-0.1,mortojo01
13872,1991-92,24,MIA,NBA,SF,21,216,10.5,.491,.185,.358,1.5,8.4,4.9,18.7,2.7,0.3,20.4,22.8,,-0.2,0.2,0.0,-0.010,,-3.7,-2.0,-5.7,-0.2,mortojo01
13873,1988-89,22,IND,NBA,PG,2,11,12.9,.750,.000,.000,0.0,0.0,0.0,15.7,0.0,0.0,20.0,19.0,,0.0,0.0,0.0,.067,,-1.3,-8.1,-9.4,0.0,mortori01
13874,1985-86,27,TOT,NBA,PG,72,1012,8.5,.459,.110,.305,3.7,8.9,6.3,14.4,2.6,0.8,19.3,16.4,,-0.6,1.1,0.5,.026,,-3.1,0.5,-2.7,-0.2,mosspe01
13875,1985-86,27,WSB,NBA,PG,12,160,8.2,.461,.132,.283,6.1,10.8,8.5,16.9,1.8,1.0,23.2,20.3,,-0.2,0.2,0.0,-0.014,,-4.1,0.0,-4.1,-0.1,mosspe01
13876,1985-86,27,PHI,NBA,PG,60,852,8.6,.458,.105,.310,3.3,8.5,5.9,13.9,2.8,0.8,18.3,15.7,,-0.4,1.0,0.6,.033,,-3.0,0.5,-2.4,-0.1,mosspe01
13877,1986-87,28,GSW,NBA,PG,64,698,10.2,.489,.068,.333,4.5,10.5,7.4,16.9,2.8,0.2,19.4,17.0,,-0.2,0.6,0.4,.025,,-2.6,0.1,-2.5,-0.1,mosspe01
13878,1995-96,23,VAN,NBA,SG,44,573,15.7,.520,.223,.304,7.1,5.3,6.2,17.4,2.7,1.1,13.6,25.8,,0.1,0.4,0.6,.047,,-0.1,-1.4,-1.5,0.1,motenla01
13879,1996-97,24,VAN,NBA,SG,67,1214,11.4,.461,.320,.224,4.1,7.4,5.7,18.6,2.1,1.5,14.3,21.6,,-0.7,0.3,-0.4,-0.017,,-2.3,-2.3,-4.6,-0.8,motenla01
13880,1997-98,25,WAS,NBA,SG,8,27,-0.2,.305,.077,.308,4.1,0.0,2.1,16.7,0.0,0.0,6.3,25.9,,-0.1,0.0,-0.1,-0.134,,-7.9,-6.7,-14.6,-0.1,motenla01
13881,2012-13,22,HOU,NBA,PF,44,538,12.2,.531,.390,.239,7.7,11.9,9.8,9.5,0.6,1.4,13.6,22.1,,0.4,0.3,0.7,.061,,-0.7,-2.2,-2.9,-0.1,motiedo01
13882,2013-14,23,HOU,NBA,PF,62,952,10.7,.504,.284,.324,7.4,18.2,13.1,5.5,1.0,1.6,12.7,17.8,,0.3,1.0,1.4,.069,,-2.7,-0.8,-3.5,-0.4,motiedo01
13883,2014-15,24,HOU,NBA,PF,71,2037,14.4,.553,.190,.237,7.4,15.4,11.4,10.8,1.4,1.3,13.7,19.1,,2.4,2.3,4.7,.110,,-0.6,0.5,-0.1,1.0,motiedo01
13884,2015-16,25,HOU,NBA,PF,37,547,11.3,.504,.278,.259,7.4,14.6,11.0,12.2,1.5,0.8,16.2,21.4,,0.0,0.3,0.3,.026,,-2.5,-1.9,-4.3,-0.3,motiedo01
13885,2016-17,26,NOP,NBA,PF,34,479,9.1,.470,.341,.355,5.7,16.6,11.1,9.7,1.8,1.9,16.3,17.6,,-0.5,0.6,0.2,.016,,-4.2,1.1,-3.1,-0.1,motiedo01
13886,2017-18,22,DAL,NBA,PF,11,176,17.2,.550,.080,.373,8.5,22.9,15.5,7.1,0.9,1.0,9.3,24.9,,0.1,0.2,0.3,.084,,-2.8,-2.1,-4.9,-0.1,motlejo01
13887,2000-01,24,ATL,NBA,SF,73,989,7.5,.504,.011,.325,5.5,14.2,9.8,4.2,0.6,0.6,17.5,17.3,,-0.1,0.5,0.4,.018,,-4.5,-2.0,-6.5,-1.1,mottoha01
13888,2001-02,25,ATL,NBA,C,82,1371,8.4,.474,.034,.198,6.7,15.6,11.2,6.0,0.8,1.0,14.4,16.1,,-0.3,0.8,0.5,.019,,-4.1,-1.1,-5.3,-1.1,mottoha01
13889,2012-13,22,PHI,NBA,PF,47,542,16.7,.595,.000,.209,15.4,14.8,15.1,2.9,1.7,1.4,11.5,14.1,,1.1,0.6,1.7,.149,,-0.7,-0.9,-1.7,0.0,moultar01
13890,2013-14,23,PHI,NBA,PF,12,187,6.7,.448,.000,.132,6.1,14.4,10.1,1.5,2.1,1.7,14.8,10.7,,-0.1,0.1,0.0,.007,,-6.4,-0.5,-7.0,-0.2,moultar01
13891,1970-71,24,INA,ABA,SG,66,832,10.5,.469,.197,.361,,,3.8,17.1,,,14.3,24.6,,-0.1,0.7,0.7,.039,,,,,,mountri01
13892,1971-72,25,INA,ABA,SG,78,2126,14.4,.523,.190,.275,2.1,4.4,3.3,15.8,,,11.8,21.9,,2.8,1.8,4.6,.104,,,,,,mountri01
13893,1972-73,26,KEN,ABA,SG,61,1780,13.1,.508,.037,.246,2.7,4.8,3.7,15.0,,,11.8,22.1,,1.2,2.3,3.5,.094,,,,,,mountri01
13894,1973-74,27,TOT,ABA,SG,52,753,15.0,.486,.112,.173,3.8,4.3,4.0,13.4,1.7,0.1,9.8,26.4,,0.7,0.4,1.1,.073,,-0.1,-3.8,-3.9,-0.4,mountri01
13895,1973-74,27,KEN,ABA,SG,18,276,7.5,.404,.086,.166,2.4,4.4,3.4,13.8,1.2,0.0,11.5,25.6,,-0.3,0.2,-0.1,-0.017,,-4.0,-3.1,-7.1,-0.4,mountri01
13896,1973-74,27,UTS,ABA,SG,34,477,19.3,.534,.127,.178,4.5,4.2,4.4,13.1,2.0,0.1,8.8,26.8,,1.1,0.2,1.2,.125,,2.2,-4.3,-2.1,0.0,mountri01
13897,1974-75,28,MMS,ABA,SG,26,895,13.3,.480,.109,.169,1.5,4.4,2.9,13.1,1.5,0.4,8.1,23.5,,0.4,0.2,0.6,.032,,-0.6,-2.9,-3.4,-0.3,mountri01
13898,1992-93,22,CHH,NBA,C,78,2644,20.8,.586,.003,.567,11.2,21.0,16.4,4.3,0.5,5.8,14.4,25.5,,4.8,3.4,8.2,.148,,-0.1,0.2,0.2,1.4,mournal01
13899,,23,CHH,NBA,C,60,2018,21.7,.588,.002,.672,10.0,23.0,16.7,6.6,0.7,5.7,15.4,27.3,,3.8,2.5,6.3,.151,,-0.1,0.6,0.5,1.3,mournal01
13900,,24,CHH,NBA,C,77,2941,20.1,.593,.031,.585,8.4,21.6,15.3,6.6,0.9,5.5,14.8,25.6,,4.3,5.1,9.4,.153,,-0.8,2.1,1.3,2.5,mournal01
13901,,25,MIA,NBA,C,70,2671,22.7,.584,.028,.662,9.7,21.7,15.9,11.4,1.4,5.5,15.9,28.1,,4.4,5.5,9.9,.178,,0.8,3.7,4.4,4.3,mournal01
13902,,26,MIA,NBA,C,66,2320,21.6,.578,.010,.638,9.8,23.4,16.8,8.8,1.3,6.3,16.6,27.5,,2.8,5.6,8.4,.174,,-1.2,3.9,2.7,2.7,mournal01
13903,1997-98,27,MIA,NBA,C,58,1939,22.4,.595,.000,.635,12.1,21.4,16.9,5.2,1.1,4.9,16.0,26.8,,3.9,3.6,7.5,.185,,0.1,1.1,1.2,1.6,mournal01
13904,1998-99,28,MIA,NBA,C,46,1753,24.6,.563,.003,.667,12.3,22.0,17.5,8.7,1.1,7.7,14.5,27.1,,4.0,3.9,7.9,.216,,1.0,3.8,4.8,3.0,mournal01
13905,,29,MIA,NBA,C,79,2748,25.8,.596,.003,.492,9.5,21.6,15.9,8.7,0.8,7.8,13.1,28.1,,7.3,5.6,12.9,.226,,1.7,2.9,4.6,4.6,mournal01
13906,,30,MIA,NBA,C,13,306,24.6,.536,.007,.390,13.6,25.6,19.6,8.9,0.7,7.8,14.5,30.6,,0.2,0.7,0.9,.148,,-1.9,2.4,0.5,0.2,mournal01
13907,,31,MIA,NBA,C,75,2455,18.9,.558,.003,.498,8.7,21.3,15.0,6.8,0.6,5.8,14.7,24.1,,2.6,4.8,7.4,.145,,-1.3,2.5,1.1,1.9,mournal01
13908,2003-04,33,NJN,NBA,C,12,215,13.3,.558,.000,.479,4.4,10.4,7.4,6.6,0.5,2.2,10.4,20.9,,0.4,0.3,0.6,.140,,-2.7,-1.6,-4.4,-0.1,mournal01
13909,2004-05,34,TOT,NBA,C-PF,37,702,15.4,.515,.000,.665,9.0,24.5,16.8,4.6,0.6,8.3,17.2,22.1,,-0.3,1.5,1.2,.080,,-5.9,2.5,-3.4,-0.2,mournal01
13910,2004-05,34,NJN,NBA,PF,18,457,13.5,.498,.000,.573,8.0,25.6,16.7,5.6,0.6,7.4,19.3,23.9,,-0.6,0.9,0.3,.030,,-7.1,2.3,-4.8,-0.3,mournal01
13911,2004-05,34,MIA,NBA,C,19,245,18.9,.551,.000,.887,10.9,22.4,16.9,2.5,0.6,9.9,12.2,18.7,,0.3,0.5,0.9,.173,,-3.5,2.7,-0.8,0.1,mournal01
13912,2005-06,35,MIA,NBA,C,65,1302,19.4,.615,.003,.711,11.8,20.3,16.2,1.4,0.5,10.2,16.0,17.5,,2.1,2.6,4.8,.176,,-2.3,3.0,0.7,0.9,mournal01
13913,2006-07,36,MIA,NBA,C,77,1572,16.7,.590,.000,.725,9.7,16.4,13.1,2.0,0.4,9.0,18.7,20.8,,1.0,2.5,3.5,.107,,-3.9,2.0,-2.0,0.0,mournal01
13914,2007-08,37,MIA,NBA,C,25,389,16.2,.580,.000,.800,10.3,18.5,14.3,3.1,0.5,8.6,16.3,18.7,,0.3,0.5,0.8,.098,,-4.2,1.7,-2.5,0.0,mournal01
13915,2010-11,24,TOT,NBA,C,45,524,10.8,.523,.000,.391,10.0,16.4,13.2,4.2,1.4,3.5,18.3,16.2,,0.1,0.5,0.6,.053,,-4.0,-0.2,-4.3,-0.3,mozgoti01
13916,2010-11,24,NYK,NBA,C,34,458,10.3,.514,.000,.393,10.1,15.8,13.0,4.8,1.5,3.7,19.6,15.8,,0.0,0.4,0.4,.044,,-4.0,0.4,-3.6,-0.2,mozgoti01
13917,2010-11,24,DEN,NBA,C,11,66,14.4,.571,.000,.381,9.0,20.4,14.9,0.0,0.8,2.3,10.9,18.6,,0.1,0.1,0.2,.112,,-4.6,-4.5,-9.0,-0.1,mozgoti01
13918,2011-12,25,DEN,NBA,C,44,687,13.2,.556,.000,.300,9.3,20.8,15.2,4.9,1.1,4.8,19.8,17.4,,0.3,0.8,1.1,.074,,-3.0,1.5,-1.6,0.1,mozgoti01
13919,2012-13,26,DEN,NBA,C,41,366,12.3,.549,.023,.299,15.6,17.1,16.4,3.4,0.8,3.8,20.3,14.6,,0.3,0.4,0.7,.096,,-1.9,0.2,-1.6,0.0,mozgoti01
13920,2013-14,27,DEN,NBA,C,82,1770,16.7,.584,.044,.477,10.4,21.9,16.1,5.5,0.7,4.2,15.6,18.8,,2.6,1.9,4.5,.123,,-1.5,1.0,-0.5,0.7,mozgoti01
13921,2014-15,28,TOT,NBA,C,81,2045,16.6,.594,.011,.382,11.0,21.4,16.1,4.3,0.8,3.7,14.9,16.9,,3.5,2.2,5.7,.133,,-1.2,0.8,-0.4,0.8,mozgoti01
13922,2014-15,28,DEN,NBA,C,35,897,13.8,.554,.026,.371,10.6,22.6,16.4,2.7,0.8,3.6,14.8,15.3,,0.9,0.9,1.8,.096,,-2.6,0.8,-1.8,0.0,mozgoti01
13923,2014-15,28,CLE,NBA,C,46,1148,18.7,.621,.000,.389,11.4,20.4,15.9,5.6,0.8,3.9,15.0,18.1,,2.5,1.3,3.9,.161,,-0.2,0.8,0.6,0.8,mozgoti01
13924,2015-16,29,CLE,NBA,C,76,1326,14.6,.593,.019,.265,9.5,19.2,14.4,3.9,0.9,3.5,15.0,16.1,,1.8,1.9,3.7,.133,,-2.2,1.0,-1.2,0.3,mozgoti01
13925,2016-17,30,LAL,NBA,C,54,1104,12.3,.553,.003,.238,9.9,16.4,13.1,5.9,0.7,2.3,16.6,16.8,,0.7,0.4,1.1,.048,,-2.8,-0.8,-3.6,-0.4,mozgoti01
13926,2017-18,31,BRK,NBA,C,31,359,12.3,.617,.194,.323,9.4,19.7,14.5,4.8,0.7,2.7,23.7,16.8,,0.1,0.3,0.4,.055,,-3.8,-0.3,-4.1,-0.2,mozgoti01
13927,2015-16,19,DEN,NBA,PG,68,2068,9.9,.437,.256,.231,1.7,10.9,6.2,29.0,1.6,1.4,17.9,25.7,,-3.3,1.2,-2.1,-0.049,,-3.1,-1.2,-4.3,-1.2,mudiaem01
13928,2016-17,20,DEN,NBA,PG,55,1406,10.9,.483,.323,.303,2.3,11.6,7.0,21.8,1.4,0.7,16.5,22.6,,-0.4,0.5,0.2,.006,,-2.0,-1.7,-3.7,-0.6,mudiaem01
13929,2017-18,21,TOT,NBA,PG,64,1245,11.5,.474,.281,.245,2.3,11.3,6.8,24.5,1.6,0.8,16.2,24.3,,-0.7,0.7,0.0,-0.002,,-2.6,-2.1,-4.7,-0.9,mudiaem01
13930,2017-18,21,DEN,NBA,PG,42,752,12.3,.504,.317,.242,2.4,11.6,7.0,24.1,1.4,0.4,16.8,24.8,,0.0,0.3,0.3,.019,,-2.2,-2.9,-5.0,-0.6,mudiaem01
13931,2017-18,21,NYK,NBA,PG,22,493,10.2,.428,.225,.250,2.3,10.8,6.5,25.0,2.0,1.2,15.3,23.7,,-0.7,0.4,-0.3,-0.034,,-3.3,-0.9,-4.3,-0.3,mudiaem01
13932,1966-67,22,CHI,NBA,C,80,2136,13.3,.474,,.272,,,,8.6,,,,,,1.0,2.4,3.5,.078,,,,,,mueller01
