,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
106,1972-73,34,TOT,TOT,SF-PF,71,1170,11.9,.449,.044,.163,10.7,18.9,15.2,10.8,,,18.1,19.4,,-0.7,1.6,0.9,.035,johnsgu01
107,1972-73,34,PHO,NBA,PF,21,417,11.6,.414,,.199,,,15.8,9.9,,,,,,-0.5,0.3,-0.2,-0.020,johnsgu01
108,1972-73,34,INA,ABA,SF,50,753,12.0,.471,.070,.140,10.7,18.9,14.9,11.3,,,18.1,19.4,,-0.3,1.3,1.0,.066,johnsgu01
109,1966-67,23,NYK,NBA,PF,51,522,9.4,.419,,.503,,,,8.9,,,,,,-0.4,0.2,-0.2,-0.014,johnsne02
110,1967-68,24,NYK,NBA,PF,43,286,10.5,.437,,.453,,,,14.9,,,,,,-0.1,0.3,0.2,.032,johnsne02
111,1968-69,25,PHO,NBA,PF,80,1319,13.1,.520,,.481,,,,13.4,,,,,,1.7,0.5,2.2,.080,johnsne02
112,1969-70,26,PHO,NBA,PF,28,136,6.8,.368,,.200,,,,11.3,,,,,,-0.3,0.1,-0.3,-0.096,johnsne02
113,,27,VIR,ABA,PF,78,1838,19.1,.568,.003,.342,,,16.7,12.6,,,15.7,19.9,,4.0,2.3,6.3,.165,johnsne02
114,1971-72,28,VIR,ABA,PF,31,874,13.8,.512,.011,.344,10.9,17.7,14.3,11.0,,,17.6,15.7,,0.6,1.3,1.9,.105,johnsne02
115,1972-73,29,VIR,ABA,PF,69,1442,11.4,.525,.002,.364,10.6,13.9,12.3,13.9,,,20.8,16.1,,1.1,1.4,2.5,.082,johnsne02
116,1967-68,22,SDR,NBA,PG,42,603,9.9,.433,,.297,,,,19.4,,,,,,-0.3,0.5,0.2,.013,jonesni01
117,1968-69,23,TOT,ABA,,7,81,0.3,.326,.071,.214,,,4.6,9.9,,,16.4,17.0,,-0.2,0.0,-0.2,-0.103,jonesni01
118,1968-69,23,DLC,ABA,,4,60,-1.6,.309,.100,.300,,,3.8,11.2,,,20.9,18.1,,-0.2,0.0,-0.2,-0.123,jonesni01
119,1968-69,23,MMF,ABA,,3,21,5.9,.375,.000,.000,,,6.7,6.3,,,0.0,13.8,,0.0,0.0,0.0,-0.048,jonesni01
120,1970-71,25,SFW,NBA,SG,81,1183,11.4,.476,,.289,,,4.1,13.9,,,,,,0.5,0.7,1.3,.051,jonesni01
121,1971-72,26,GSW,NBA,SG,65,478,9.7,.482,,.311,,,3.6,13.2,,,,,,0.2,0.5,0.7,.073,jonesni01
122,1972-73,27,DLC,ABA,PG,3,16,2.9,.429,.000,.375,6.1,0.0,3.2,9.3,,,17.7,27.6,,0.0,0.0,0.0,-0.071,jonesni01
123,1971-72,22,MMP,ABA,SG,74,1153,8.2,.446,.176,.241,2.6,6.2,4.3,12.7,,,12.2,19.8,,-0.9,1.4,0.4,.017,kinglo01
124,1972-73,23,MMT,ABA,SG,10,102,1.6,.292,.103,.276,1.9,9.7,5.7,16.5,,,11.0,13.8,,-0.3,0.0,-0.3,-0.148,kinglo01
125,1967-68,24,SFW,NBA,PF,44,257,8.1,.416,,.324,,,,7.0,,,,,,-0.3,0.4,0.2,.031,lattida01
126,1968-69,25,PHO,NBA,PF,68,987,12.0,.463,,.470,,,,6.6,,,,,,0.2,0.3,0.6,.028,lattida01
127,1970-71,27,PTC,ABA,PF,71,1135,13.2,.508,.003,.469,,,17.4,7.0,,,19.6,17.5,,0.8,1.2,2.0,.084,lattida01
128,1971-72,28,PTC,ABA,PF,64,1482,16.9,.566,.002,.400,8.4,14.7,11.6,4.6,,,13.2,20.2,,3.3,-0.1,3.2,.103,lattida01
129,1972-73,29,MMT,ABA,PF,16,296,9.2,.525,.010,.433,6.7,14.1,10.3,3.2,,,20.5,20.4,,0.3,0.1,0.4,.059,lattida01
130,1972-73,24,NYA,ABA,SG,19,181,0.3,.389,.035,.702,2.3,5.4,3.9,8.9,,,18.6,20.7,,-0.4,0.0,-0.4,-0.106,mahonbr01
131,1970-71,21,VIR,ABA,PF,55,725,15.0,.501,.003,.416,,,14.9,7.6,,,13.6,22.3,,0.5,0.8,1.3,.087,maloymi01
132,1971-72,22,VIR,ABA,PF,7,73,1.1,.362,.000,.057,7.2,13.2,10.2,3.4,,,20.1,22.1,,-0.2,0.1,-0.1,-0.096,maloymi01
133,1972-73,23,DLC,ABA,PF,9,63,1.7,.318,.000,.370,9.3,15.0,12.1,6.4,,,11.3,21.9,,-0.3,0.0,-0.3,-0.195,maloymi01
134,1970-71,25,UTS,ABA,PF,29,206,18.5,.488,.018,.229,,,19.2,4.9,,,12.4,24.4,,0.1,0.4,0.5,.121,mcdonro01
135,1971-72,26,UTS,ABA,SF,33,231,13.4,.515,.026,.487,13.3,15.7,14.6,10.1,,,20.0,19.2,,0.2,0.3,0.5,.095,mcdonro01
136,1972-73,27,UTS,ABA,SF,25,142,13.3,.490,.063,.302,9.5,11.1,10.4,14.8,,,16.4,23.5,,0.0,0.2,0.2,.058,mcdonro01
137,1967-68,24,INA,ABA,C,65,1203,11.6,.464,.009,.555,,,14.1,3.3,,,14.4,15.3,,0.4,1.0,1.5,.059,peeplge01
138,1968-69,25,INA,ABA,C,64,1111,11.3,.507,.000,.511,,,14.0,3.7,,,17.7,13.3,,0.8,1.3,2.1,.090,peeplge01
139,1969-70,26,CAR,ABA,C,83,2220,13.0,.467,.010,.462,,,14.4,7.6,,,15.0,16.5,,0.1,3.1,3.2,.069,peeplge01
140,1970-71,27,CAR,ABA,C,82,2220,14.5,.519,.001,.433,,,15.8,6.4,,,17.3,18.2,,2.1,2.0,4.1,.089,peeplge01
141,1971-72,28,DLC,ABA,C,6,125,9.7,.486,.000,.440,12.0,16.3,14.1,5.4,,,23.2,12.9,,0.0,0.2,0.2,.074,peeplge01
142,1972-73,29,INA,ABA,C,9,56,1.1,.372,.000,.786,5.1,19.0,12.3,8.6,,,24.2,16.7,,-0.1,0.1,0.0,-0.030,peeplge01
143,1971-72,23,DLC,ABA,,28,174,11.8,.475,.224,.184,2.3,10.0,6.1,11.5,,,8.9,21.5,,0.0,0.2,0.2,.047,phillge01
144,1972-73,24,DLC,ABA,SG,3,10,-19.4,.000,.600,.000,0.0,0.0,0.0,11.6,,,0.0,19.5,,-0.1,0.0,-0.1,-0.640,phillge01
