,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
183,,26,PTP,ABA,SG,26,925,11.0,.424,.140,.251,,,3.6,14.4,,,11.8,26.3,,-1.3,0.6,-0.7,-0.039,willich01
184,1970-71,27,TOT,ABA,SG-PG,88,2242,11.6,.461,.112,.239,,,4.1,15.6,,,14.4,25.4,,-0.8,2.1,1.3,.027,willich01
185,1970-71,27,PTC,ABA,PG,32,973,9.1,.467,.081,.236,,,3.6,17.0,,,20.1,22.8,,-0.1,0.7,0.6,.028,willich01
186,1970-71,27,MMP,ABA,SG,56,1269,13.5,.457,.130,.241,,,4.5,14.5,,,10.6,27.4,,-0.7,1.4,0.7,.027,willich01
187,1971-72,28,MMP,ABA,PG,82,2583,10.0,.452,.138,.314,2.7,5.1,3.8,14.5,,,14.0,23.6,,-2.0,3.1,1.1,.020,willich01
188,1972-73,29,TOT,ABA,PG,32,370,4.9,.421,.174,.496,1.1,3.7,2.4,20.2,,,19.5,18.3,,-0.5,0.2,-0.3,-0.041,willich01
189,1972-73,29,MMT,ABA,PG,10,219,5.2,.416,.187,.347,0.9,4.5,2.7,24.7,,,21.7,19.5,,-0.3,0.1,-0.2,-0.054,willich01
190,1972-73,29,UTS,ABA,PG,22,151,4.4,.429,.150,.775,1.4,2.5,1.9,13.7,,,15.7,16.5,,-0.2,0.1,-0.1,-0.021,willich01
191,1971-72,23,DET,NBA,SG,48,322,12.6,.414,,.316,,,6.9,18.6,,,,,,-0.5,0.1,-0.5,-0.074,wilsois01
192,1972-73,24,MMT,ABA,SG,30,386,13.9,.508,.050,.403,4.4,5.4,4.9,26.1,,,18.0,22.9,,0.3,0.1,0.4,.050,wilsois01
