,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
382,1981-82,Oregon State,Pac-10,30,,895,.621,,,.621,,,,,,25.7,,greenac01,ac-green-1
383,1982-83,Oregon State,Pac-10,31,,1113,.593,,,.555,,,,,,18.5,,greenac01,ac-green-1
384,1983-84,Oregon State,Pac-10,23,23,853,.703,,,.897,,,,,,16.9,,greenac01,ac-green-1
385,1984-85,Oregon State,Pac-10,31,31,1191,.626,,,.638,,,,,,13.4,,greenac01,ac-green-1
386,1982-83,Wake Forest,ACC,25,5,455,.571,,,.392,,,,,,14.0,,greenke02,kenny-green-1
387,1983-84,Wake Forest,ACC,31,31,1060,.598,,,.343,,,,,,12.2,,greenke02,kenny-green-1
388,1984-85,Wake Forest,ACC,28,27,1028,.524,,,.266,,,,,,12.4,,greenke02,kenny-green-1
389,1979-80,UNLV,Ind,32,,1024,.552,,,.340,,,,,,22.5,,greensi02,sidney-green-1
390,1980-81,UNLV,Ind,26,,817,.552,,,.404,,,,,,18.6,,greensi02,sidney-green-1
391,1981-82,UNLV,Ind,30,29,963,.574,,,.348,,,,,,,,greensi02,sidney-green-1
392,1982-83,UNLV,PCAA,31,31,1120,.582,.552,.024,.413,,,,,,12.8,,greensi02,sidney-green-1
393,1977-78,Wisconsin,Big Ten,27,7,554,.435,,,.404,,,,,,20.2,,gregocl01,claude-gregory-1
394,1978-79,Wisconsin,Big Ten,27,26,866,.467,,,.275,,,,,,,,gregocl01,claude-gregory-1
395,1979-80,Wisconsin,Big Ten,29,28,1001,.520,,,.446,,,,,,17.9,,gregocl01,claude-gregory-1
396,1980-81,Wisconsin,Big Ten,27,27,989,.515,,,.461,,,,,,17.0,,gregocl01,claude-gregory-1
397,1979-80,Oregon,Pac-10,27,8,445,.495,,,.350,,,,,,22.2,,greigjo01,john-greig-1
398,1980-81,Oregon,Pac-10,27,27,739,.612,,,.401,,,,,,18.1,,greigjo01,john-greig-1
399,1981-82,Oregon,Pac-10,27,27,856,.550,,,.562,,,,,,17.9,,greigjo01,john-greig-1
400,1979-80,Iowa,Big Ten,33,,,.459,,,.437,,,,,,,,hansebo01,bob-hansen-1
401,1980-81,Iowa,Big Ten,22,,,.511,,,.340,,,,,,,,hansebo01,bob-hansen-1
402,1981-82,Iowa,Big Ten,25,,,.532,,,.392,,,,,,,,hansebo01,bob-hansen-1
403,1982-83,Iowa,Big Ten,31,,,.542,.500,.053,.341,,,,,,,,hansebo01,bob-hansen-1
404,1980-81,Illinois,Big Ten,29,27,934,.440,,,.183,,,,,,19.4,,harpede01,derek-harper-1
405,1981-82,Illinois,Big Ten,29,27,1059,.485,,,.196,,,,,,16.9,,harpede01,derek-harper-1
406,1982-83,Illinois,Big Ten,32,32,1182,.576,.554,.073,.333,,,,,,17.4,,harpede01,derek-harper-1
407,1982-83,Miami (OH),MAC,28,,887,.525,,,.319,,,,,,19.7,,harpero01,ron-harper-1
408,1983-84,Miami (OH),MAC,30,,989,.548,,,.450,,,,,,12.9,,harpero01,ron-harper-1
409,1984-85,Miami (OH),MAC,31,,1144,.565,,,.388,,,,,,12.4,,harpero01,ron-harper-1
410,1985-86,Miami (OH),MAC,31,,1144,.567,,,.350,,,,,,11.7,,harpero01,ron-harper-1
411,1981-82,Tulsa,MVC,29,2,587,.574,,,.280,,,,,,17.6,,harrist01,steve-harris-1
412,1982-83,Tulsa,MVC,31,31,1119,.575,,,.269,,,,,,12.3,,harrist01,steve-harris-1
413,1983-84,Tulsa,MVC,31,30,1043,.612,,,.303,,,,,,12.1,,harrist01,steve-harris-1
414,1984-85,Tulsa,MVC,31,31,1069,.609,,,.431,,,,,,9.3,,harrist01,steve-harris-1
415,1978-79,Arkansas,SWC,30,,753,.548,,,.387,,,,,,19.3,,hastisc01,scott-hastings-1
416,1979-80,Arkansas,SWC,29,,1033,.589,,,.497,,,,,,15.7,,hastisc01,scott-hastings-1
417,1980-81,Arkansas,SWC,32,,1054,.607,,,.554,,,,,,15.7,,hastisc01,scott-hastings-1
418,1981-82,Arkansas,SWC,29,,1040,.595,,,.480,,,,,,15.3,,hastisc01,scott-hastings-1
419,1984-85,Georgia,SEC,28,,741,.576,,,.472,,,,,,13.0,,hendece01,cedric-henderson-1
420,1982-83,Duke,ACC,28,,697,.482,,,.227,,10.0,,,,,,hendeda01,dave-henderson-1
421,1983-84,Duke,ACC,33,,878,.544,,,.607,,7.8,16.1,,,,,hendeda01,dave-henderson-1
422,1984-85,Duke,ACC,28,,660,.523,,,.631,,9.3,13.3,,,,,hendeda01,dave-henderson-1
423,1985-86,Duke,ACC,39,,1090,.559,,,.382,,10.3,14.6,,0.1,,,hendeda01,dave-henderson-1
424,1979-80,New Mexico,WAC,13,10,381,.516,,,.370,,,,,,22.0,,hendeje01,jerome-henderson-1
425,1980-81,New Mexico,WAC,23,21,738,.582,,,.312,,,,,,12.9,,hendeje01,jerome-henderson-1
426,1983-84,Cal State Fullerton,PCAA,22,4,329,.524,,,.302,,,,,,17.3,,hendeke01,kevin-henderson-1
427,1984-85,Cal State Fullerton,PCAA,30,30,1081,.543,,,.359,,,,,,15.6,,hendeke01,kevin-henderson-1
428,1985-86,Cal State Fullerton,PCAA,21,17,575,.582,,,.433,,,,,,15.8,,hendeke01,kevin-henderson-1
429,1979-80,Oklahoma City,MW City,28,,,.487,,,.369,,,,,,,,henryca01,carl-henry-1
430,1980-81,Oklahoma City,MW City,29,,1053,.537,,,.299,,,,,,14.1,,henryca01,carl-henry-1
431,1982-83,Kansas,Big 8,29,29,1050,.580,,,.434,,,,,,,,henryca01,carl-henry-1
432,1983-84,Kansas,Big 8,32,32,1120,.602,,,.412,,,,,,13.2,,henryca01,carl-henry-1
433,1982-83,UCSB,PCAA,25,,524,.434,,,.341,,,,,,29.4,,henryco01,conner-henry-1
434,1983-84,UCSB,PCAA,27,,865,.530,,,.429,,,,,,21.0,,henryco01,conner-henry-1
435,1984-85,UCSB,PCAA,22,,789,.536,,,.457,,,,,,24.3,,henryco01,conner-henry-1
436,1985-86,UCSB,PCAA,27,,981,.541,,,.360,,,,,,14.5,,henryco01,conner-henry-1
437,1978-79,Fresno State,PCAA,22,,,.561,,,.431,,,,,,,,higgiro01,rod-higgins-1
438,1979-80,Fresno State,PCAA,24,,,.562,,,.366,,,,,,13.8,,higgiro01,rod-higgins-1
439,1980-81,Fresno State,PCAA,29,,941,.605,,,.339,,,,,,,,higgiro01,rod-higgins-1
440,1981-82,Fresno State,PCAA,29,,1025,.568,,,.313,,,,,,11.7,,higgiro01,rod-higgins-1
441,1979-80,Rutgers,EAA,28,28,796,.515,,,.333,,,,,,,,hinsoro01,roy-hinson-1
442,1980-81,Rutgers,EAA,30,,952,.505,,,.317,,,,,,,,hinsoro01,roy-hinson-1
443,1981-82,Rutgers,EAA,30,,1015,.505,,,.377,,,,,,,,hinsoro01,roy-hinson-1
444,1982-83,Rutgers,A-10,31,,1048,.556,,,.488,,,,,,,,hinsoro01,roy-hinson-1
445,1978-79,Long Beach State,PCAA,28,,801,.548,,,.209,,,,,,,,hodgecr01,craig-hodges-1
446,1979-80,Long Beach State,PCAA,33,,1148,.530,,,.188,,,,,,,,hodgecr01,craig-hodges-1
447,1980-81,Long Beach State,PCAA,26,,755,.477,,,.200,,,,,,,,hodgecr01,craig-hodges-1
448,1981-82,Long Beach State,PCAA,28,,1005,.502,,,.207,,,,,,,,hodgecr01,craig-hodges-1
449,1979-80,UCLA,Pac-10,32,,802,.587,,,.695,,,,,,30.0,,holtomi01,mike-holton-1
450,1980-81,UCLA,Pac-10,27,,734,.547,,,.416,,,,,,19.3,,holtomi01,mike-holton-1
451,1981-82,UCLA,Pac-10,27,,677,.530,,,.422,,,,,,20.6,,holtomi01,mike-holton-1
452,1982-83,UCLA,Pac-10,29,,721,.610,,,.466,,,,,,24.3,,holtomi01,mike-holton-1
453,1982-83,Nebraska,Big 8,32,32,829,.576,,,.511,,,,,,14.2,,hoppeda01,dave-hoppen-1
454,1983-84,Nebraska,Big 8,30,30,1058,.642,,,.567,,,,,,13.7,,hoppeda01,dave-hoppen-1
455,1984-85,Nebraska,Big 8,30,30,1155,.680,,,.502,,,,,,10.1,,hoppeda01,dave-hoppen-1
456,1985-86,Nebraska,Big 8,19,19,669,.667,,,.600,,,,,,9.7,,hoppeda01,dave-hoppen-1
457,1982-83,Iowa State,Big 8,27,13,583,.467,,,.333,,,,,,22.3,,hornaje01,jeff-hornacek-1
458,1983-84,Iowa State,Big 8,29,29,1065,.564,,,.505,,,,,,25.0,,hornaje01,jeff-hornacek-1
459,1984-85,Iowa State,Big 8,34,34,1224,.566,,,.291,,,,,,16.1,,hornaje01,jeff-hornacek-1
460,1985-86,Iowa State,Big 8,33,33,1229,.525,,,.338,,,,,,15.4,,hornaje01,jeff-hornacek-1
461,1981-82,Loyola (IL),MW City,29,27,1019,.426,,,.203,,,,,,12.3,,hugheri01,rick-hughes-1
462,1982-83,Loyola (IL),MW City,29,29,1038,.465,,,.264,,,,,,10.7,,hugheri01,rick-hughes-1
463,1983-84,Loyola (IL),MW City,29,29,1151,.530,,,.319,,,,,,8.7,,hugheri01,rick-hughes-1
464,1984-85,Loyola (IL),MW City,33,33,1251,.511,,,.258,,12.5,5.1,,0.2,8.7,,hugheri01,rick-hughes-1
465,1978-79,Colorado State,WAC,27,,,.541,,,.260,,,,,,,,hugheed01,eddie-hughes-1
466,1979-80,Colorado State,WAC,27,26,1033,.536,,,.263,,,,,,,,hugheed01,eddie-hughes-1
467,1980-81,Colorado State,WAC,26,22,935,.507,,,.332,,,,,,15.8,,hugheed01,eddie-hughes-1
468,1981-82,Colorado State,WAC,26,,831,.483,,,.277,,,,,,,,hugheed01,eddie-hughes-1
469,1981-82,Loyola (IL),MW City,29,27,1019,.426,,,.203,,,,,,12.3,,hugheri02,rick-hughes-1
470,1982-83,Loyola (IL),MW City,29,29,1038,.465,,,.264,,,,,,10.7,,hugheri02,rick-hughes-1
471,1983-84,Loyola (IL),MW City,29,29,1151,.530,,,.319,,,,,,8.7,,hugheri02,rick-hughes-1
472,1984-85,Loyola (IL),MW City,33,33,1251,.511,,,.258,,12.5,5.1,,0.2,8.7,,hugheri02,rick-hughes-1
473,1980-81,Colorado,Big 8,28,,762,.541,,,.329,,,,,,22.1,,humphja01,jay-humphries-1
474,1981-82,Colorado,Big 8,27,27,948,.496,,,.343,,,,,,18.5,,humphja01,jay-humphries-1
475,1982-83,Colorado,Big 8,28,28,1034,.521,,,.280,,,,,,18.1,,humphja01,jay-humphries-1
