,season,age,team_id,lg_id,pos,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,id
0,1990-91,22,POR,NBA,PF,43,0,290,9.1,19.1,.474,0.0,0.0,,9.1,19.1,.474,4.1,7.2,.568,4.4,10.2,14.7,2.0,0.7,2.0,3.6,6.4,22.2,,99,103,abdelal01
1,1991-92,23,POR,NBA,PF,71,1,934,9.2,18.7,.493,0.0,0.0,,9.2,18.7,.493,3.9,5.2,.752,4.2,9.3,13.5,1.6,1.3,0.8,3.4,6.9,22.4,,105,103,abdelal01
2,1992-93,24,TOT,NBA,PF,75,52,1311,9.4,18.2,.518,0.0,0.0,.000,9.4,18.2,.519,3.4,4.5,.759,4.9,8.1,13.0,1.0,1.0,1.0,3.7,7.3,22.3,,104,108,abdelal01
3,1992-93,24,MIL,NBA,PF,12,0,159,8.2,17.6,.464,0.0,0.3,.000,8.2,17.3,.473,3.8,5.0,.750,3.8,7.9,11.6,3.1,1.9,1.3,4.1,7.5,20.1,,97,108,abdelal01
4,1992-93,24,BOS,NBA,PF,63,52,1152,9.6,18.3,.525,0.0,0.0,,9.6,18.3,.525,3.3,4.4,.760,5.0,8.2,13.2,0.7,0.8,1.0,3.7,7.2,22.6,,105,108,abdelal01
5,1993-94,25,BOS,NBA,PF,13,0,159,7.6,17.4,.436,0.0,0.0,,7.6,17.4,.436,5.1,7.9,.640,3.8,10.7,14.5,0.9,0.6,0.9,5.4,6.3,20.2,,86,108,abdelal01
6,1994-95,26,TOT,NBA,PF,54,0,506,12.1,23.8,.511,0.0,0.2,.000,12.1,23.5,.515,2.1,3.6,.571,3.8,7.9,11.7,1.3,1.5,1.2,4.6,10.7,26.3,,94,105,abdelal01
7,1994-95,26,SAC,NBA,PF,51,0,476,12.8,24.0,.532,0.0,0.2,.000,12.8,23.8,.537,2.2,3.8,.571,3.7,7.9,11.6,1.4,1.6,1.3,4.4,11.1,27.7,,98,105,abdelal01
8,1994-95,26,PHI,NBA,PF,3,0,30,1.8,19.3,.091,0.0,0.0,,1.8,19.3,.091,0.0,0.0,,5.3,8.8,14.1,0.0,0.0,0.0,8.8,3.5,3.5,,26,113,abdelal01
9,,26,MIL,NBA,C,81,,3548,12.2,22.6,.539,,,,12.2,22.6,.539,3.8,5.4,.702,3.7,11.4,15.1,5.0,1.4,3.6,,3.1,28.1,,,89,abdulka01
10,,27,MIL,NBA,C,65,,2747,13.9,27.1,.513,,,,13.9,27.1,.513,5.6,7.3,.763,3.3,12.3,15.6,4.5,1.1,3.6,,3.5,33.4,,,92,abdulka01
11,,28,LAL,NBA,C,82,,3379,12.0,22.7,.529,,,,12.0,22.7,.529,5.9,8.4,.703,3.6,14.6,18.2,5.4,1.6,4.4,,3.8,29.9,,,90,abdulka01
12,,29,LAL,NBA,C,82,,3016,13.5,23.3,.579,,,,13.5,23.3,.579,5.7,8.1,.701,4.0,12.5,16.6,4.8,1.5,4.0,,4.0,32.7,,,92,abdulka01
13,1977-78,30,LAL,NBA,C,62,,2265,13.2,24.1,.550,,,,13.2,24.1,.550,5.5,7.0,.783,3.7,12.3,16.0,5.4,2.1,3.7,4.2,3.6,32.0,,113,94,abdulka01
14,,31,LAL,NBA,C,80,,3157,11.2,19.3,.577,,,,11.2,19.3,.577,5.0,6.8,.736,3.0,11.7,14.7,6.2,1.1,4.5,4.0,3.3,27.3,,115,98,abdulka01
15,,32,LAL,NBA,C,82,,3143,12.3,20.3,.604,0.0,0.0,.000,12.3,20.3,.604,5.3,7.0,.765,2.8,10.2,13.0,5.4,1.2,4.1,4.4,3.2,29.8,,118,100,abdulka01
16,,33,LAL,NBA,C,80,,2976,13.1,22.9,.574,0.0,0.0,.000,13.1,22.9,.574,6.6,8.7,.766,3.1,9.8,12.9,4.3,0.9,3.6,3.9,3.8,32.9,,118,101,abdulka01
17,,34,LAL,NBA,C,76,76,2677,13.1,22.6,.579,0.0,0.1,.000,13.1,22.6,.580,5.4,7.7,.706,3.0,8.5,11.5,3.9,1.1,3.6,4.0,3.9,31.6,,116,104,abdulka01
18,,35,LAL,NBA,C,79,79,2554,13.1,22.2,.588,0.0,0.0,.000,13.1,22.2,.589,5.0,6.7,.749,3.0,7.7,10.7,3.6,1.1,3.1,3.6,4.0,31.2,,118,104,abdulka01
19,,36,LAL,NBA,C,80,80,2622,12.6,21.9,.578,0.0,0.0,.000,12.6,21.8,.579,5.0,7.0,.723,3.0,7.4,10.4,3.7,1.0,2.5,3.9,3.7,30.3,,115,107,abdulka01
20,,37,LAL,NBA,C,79,79,2630,12.8,21.3,.599,0.0,0.0,.000,12.8,21.3,.600,5.1,7.0,.732,2.9,8.1,11.0,4.4,1.1,2.9,3.5,4.2,30.7,,120,105,abdulka01
21,,38,LAL,NBA,C,79,79,2629,13.4,23.8,.564,0.0,0.0,.000,13.4,23.7,.565,6.0,7.8,.765,2.4,6.1,8.5,5.0,1.2,2.3,3.6,4.4,32.8,,118,106,abdulka01
22,,39,LAL,NBA,C,78,78,2441,10.8,19.2,.564,0.0,0.1,.333,10.8,19.2,.565,4.7,6.6,.714,2.9,7.2,10.1,3.9,0.9,1.9,3.6,4.7,26.4,,114,107,abdulka01
23,,40,LAL,NBA,C,80,80,2308,10.1,19.0,.532,0.0,0.0,.000,10.1,18.9,.532,4.3,5.6,.762,2.5,7.6,10.0,2.8,1.0,1.9,3.3,4.5,24.4,,109,107,abdulka01
24,,41,LAL,NBA,C,74,74,1695,8.9,18.6,.475,0.0,0.1,.000,8.9,18.6,.477,3.5,4.7,.739,2.9,6.5,9.4,2.1,1.1,2.4,2.7,5.5,21.2,,104,107,abdulka01
25,1990-91,21,DEN,NBA,PG,67,19,1505,11.7,28.3,.413,0.7,2.8,.240,11.0,25.5,.432,2.4,2.7,.857,1.0,2.4,3.4,5.8,1.5,0.1,3.1,4.2,26.4,,96,118,abdulma02
26,1991-92,22,DEN,NBA,PG,81,11,1538,11.3,26.8,.421,1.0,3.0,.330,10.3,23.8,.433,3.0,3.4,.870,0.7,2.9,3.6,6.1,1.4,0.1,3.7,4.1,26.5,,99,113,abdulma02
27,1992-93,23,DEN,NBA,PG,81,81,2710,11.2,25.0,.450,1.2,3.5,.355,10.0,21.5,.465,3.9,4.1,.935,0.9,3.1,4.0,6.1,1.5,0.1,3.3,3.2,27.6,,107,110,abdulma02
28,1993-94,24,DEN,NBA,PG,80,78,2617,11.2,24.4,.460,0.8,2.5,.316,10.4,21.9,.476,4.2,4.4,.956,0.5,2.7,3.2,6.9,1.6,0.2,2.9,2.9,27.4,,109,107,abdulma02
29,1994-95,25,DEN,NBA,PG,73,43,2082,11.9,25.3,.470,2.1,5.4,.386,9.8,19.9,.492,3.5,3.9,.885,0.8,2.6,3.5,6.6,1.9,0.2,3.0,3.2,29.4,,112,112,abdulma02
30,1995-96,26,DEN,NBA,PG,57,53,2029,10.6,24.5,.434,3.1,7.9,.392,7.5,16.6,.454,3.7,4.0,.930,0.7,2.9,3.5,10.0,1.6,0.1,3.0,3.0,28.1,,114,112,abdulma02
31,1996-97,27,SAC,NBA,PG,75,51,2131,10.2,22.9,.445,2.3,6.1,.382,7.8,16.8,.468,2.8,3.4,.846,0.4,2.6,3.0,4.7,1.4,0.1,2.9,4.3,25.5,,105,112,abdulma02
32,1997-98,28,SAC,NBA,PG,31,0,530,10.1,26.8,.377,0.5,3.0,.161,9.6,23.8,.405,1.6,1.6,1.000,0.6,3.0,3.6,5.7,1.6,0.1,1.9,3.0,22.3,,90,110,abdulma02
33,2000-01,31,VAN,NBA,PG,41,0,486,12.9,26.5,.488,0.4,1.5,.286,12.5,25.0,.500,2.4,3.1,.759,0.5,2.2,2.7,8.2,1.0,0.1,2.8,5.4,28.7,,104,111,abdulma02
34,1997-98,23,SAC,NBA,SG,59,16,959,7.8,19.4,.403,0.2,1.0,.211,7.6,18.4,.414,4.6,6.8,.672,2.4,3.9,6.3,2.8,1.9,0.7,3.5,4.4,20.4,,91,108,abdulta01
35,1998-99,24,SAC,NBA,SG,49,49,1205,7.3,16.9,.435,0.2,0.9,.286,7.1,16.0,.443,3.9,5.6,.691,3.0,4.7,7.7,2.1,2.1,0.7,2.9,5.0,18.8,,98,104,abdulta01
36,1999-00,25,TOT,NBA,SG,61,56,1578,8.6,20.3,.424,0.1,0.7,.130,8.5,19.6,.435,4.6,6.1,.756,3.2,6.0,9.2,3.1,1.9,0.9,3.3,4.6,21.9,,98,103,abdulta01
37,1999-00,25,ORL,NBA,SG,46,46,1205,9.1,21.1,.433,0.1,0.9,.095,9.0,20.2,.447,4.7,6.2,.762,3.2,6.6,9.8,2.9,2.2,0.7,3.6,4.7,23.0,,98,101,abdulta01
38,1999-00,25,DEN,NBA,SG,15,10,373,6.9,17.8,.389,0.1,0.3,.500,6.8,17.5,.388,4.2,5.7,.738,3.3,3.8,7.1,3.5,0.8,1.6,2.6,4.2,18.2,,96,109,abdulta01
39,2000-01,26,DEN,NBA,SG,29,12,420,5.3,13.7,.387,0.5,1.2,.400,4.8,12.5,.386,2.6,4.4,.583,1.7,5.6,7.3,2.7,1.7,1.6,4.2,6.7,13.7,,79,106,abdulta01
40,2001-02,27,TOT,NBA,SG,24,12,441,6.6,17.7,.374,0.1,0.2,.500,6.5,17.4,.372,2.9,4.0,.727,4.9,5.2,10.1,2.9,2.4,1.2,3.2,6.7,16.2,,90,107,abdulta01
41,2001-02,27,DEN,NBA,SG,20,12,417,7.0,18.5,.379,0.1,0.3,.500,6.9,18.2,.378,3.1,4.1,.750,5.0,5.0,9.9,2.8,2.3,1.1,3.1,6.5,17.2,,92,108,abdulta01
42,2001-02,27,DAL,NBA,SG,4,0,24,0.0,4.3,.000,0.0,0.0,,0.0,4.3,.000,0.0,2.2,.000,4.3,8.6,12.9,4.3,4.3,2.2,6.5,10.8,0.0,,41,99,abdulta01
43,2002-03,28,DAL,NBA,SG,14,0,204,6.9,14.7,.466,0.0,0.3,.000,6.9,14.5,.474,0.8,1.5,.500,3.6,6.6,10.2,5.3,1.5,0.8,1.8,6.6,14.5,,106,103,abdulta01
44,1996-97,20,VAN,NBA,PF,80,71,2802,10.7,23.5,.453,0.1,0.5,.259,10.5,23.0,.457,7.5,10.1,.746,4.2,6.6,10.7,3.4,1.5,1.5,4.4,3.9,28.9,,102,112,abdursh01
45,1997-98,21,VAN,NBA,SF,82,82,2950,11.5,23.8,.485,0.4,0.9,.412,11.2,22.9,.488,8.9,11.3,.784,4.0,6.3,10.3,3.8,1.6,1.3,4.5,3.6,32.3,,109,112,abdursh01
46,1998-99,22,VAN,NBA,SF,50,50,2021,10.3,23.8,.432,0.3,1.0,.306,10.0,22.9,.438,9.8,11.7,.841,3.0,6.9,10.0,4.6,1.8,1.5,5.0,3.7,30.7,,104,107,abdursh01
47,1999-00,23,VAN,NBA,SF,82,82,3223,9.7,20.9,.465,0.5,1.6,.302,9.3,19.3,.478,7.3,9.0,.809,3.6,9.9,13.5,4.4,1.5,1.4,4.1,4.0,27.2,,108,106,abdursh01
48,2000-01,24,VAN,NBA,SF,81,81,3241,9.8,20.7,.472,0.2,1.0,.188,9.6,19.6,.487,7.2,8.6,.834,2.8,9.0,11.9,4.0,1.5,1.2,3.7,3.8,26.9,,106,104,abdursh01
49,,25,ATL,NBA,PF,77,77,2980,10.5,22.7,.461,0.4,1.2,.300,10.1,21.5,.470,7.3,9.2,.801,3.5,8.7,12.2,4.2,1.7,1.4,4.4,3.8,28.7,,105,105,abdursh01
50,2002-03,26,ATL,NBA,PF,81,81,3087,9.7,20.2,.478,0.4,1.0,.350,9.3,19.2,.485,7.8,9.2,.841,3.0,8.6,11.6,4.1,1.5,0.6,3.6,4.1,27.5,,111,106,abdursh01
51,2003-04,27,TOT,NBA,PF,85,56,2684,10.0,21.0,.475,0.2,0.7,.265,9.8,20.4,.482,7.4,8.6,.869,3.8,9.0,12.8,3.5,1.4,0.7,3.7,4.4,27.6,,110,105,abdursh01
52,2003-04,27,ATL,NBA,PF,53,53,1956,10.3,21.3,.485,0.1,0.6,.217,10.2,20.7,.493,7.9,9.0,.880,3.8,9.6,13.4,3.4,1.2,0.5,3.5,4.0,28.8,,112,106,abdursh01
53,2003-04,27,POR,NBA,PF,32,3,728,9.0,20.2,.447,0.3,0.8,.364,8.7,19.3,.451,6.0,7.3,.832,3.7,7.3,11.0,3.6,1.8,1.4,4.1,5.7,24.4,,103,104,abdursh01
54,2004-05,28,POR,NBA,PF,54,49,1867,9.6,19.2,.503,0.4,1.1,.385,9.2,18.1,.510,6.3,7.3,.866,3.5,7.7,11.2,3.2,1.4,0.7,3.3,4.3,26.0,,113,108,abdursh01
55,2005-06,29,SAC,NBA,PF,72,30,1961,8.8,16.8,.525,0.1,0.6,.227,8.7,16.2,.536,5.8,7.4,.784,2.8,6.7,9.5,4.0,1.3,1.1,2.9,6.0,23.6,,115,105,abdursh01
56,2006-07,30,SAC,NBA,C,80,45,2015,7.8,16.4,.474,0.1,0.5,.150,7.7,15.9,.484,4.3,5.9,.726,3.1,6.9,10.0,2.7,1.3,1.0,2.9,6.1,19.9,,103,108,abdursh01
57,2007-08,31,SAC,NBA,PF,6,0,51,3.0,13.9,.214,0.0,0.0,,3.0,13.9,.214,4.0,4.0,1.000,6.0,4.0,9.9,4.0,1.0,0.0,1.0,8.9,9.9,,95,114,abdursh01
58,1976-77,22,LAL,NBA,SF,70,,1378,5.6,11.6,.484,,,,5.6,11.6,.484,3.4,4.5,.754,3.8,5.9,9.7,3.3,1.6,0.3,,3.9,14.6,,,100,abernto01
59,1977-78,23,LAL,NBA,SF,73,,1317,6.9,13.9,.498,,,,6.9,13.9,.498,3.1,3.8,.820,3.6,5.5,9.1,3.5,1.9,0.8,1.7,4.2,16.9,,115,101,abernto01
60,1978-79,24,GSW,NBA,PF,70,,1219,6.8,13.2,.515,,,,6.8,13.2,.515,2.7,3.6,.745,2.9,5.5,8.3,3.0,1.5,0.5,1.2,5.1,16.3,,118,103,abernto01
61,1979-80,25,GSW,NBA,PF,67,,1222,6.0,12.4,.481,0.0,0.0,.000,6.0,12.4,.483,2.2,3.2,.683,2.4,5.0,7.5,3.4,1.4,0.5,1.5,4.6,14.1,,109,108,abernto01
62,1980-81,26,TOT,NBA,SF,39,,298,4.0,9.4,.424,0.0,0.2,.000,4.0,9.3,.431,2.1,3.5,.591,3.2,4.5,7.7,3.0,1.1,0.5,1.3,5.4,10.1,,107,109,abernto01
63,1980-81,26,GSW,NBA,SF,10,,39,1.2,3.7,.333,0.0,0.0,,1.2,3.7,.333,2.4,3.7,.667,1.2,8.5,9.8,1.2,1.2,0.0,2.4,6.1,4.9,,80,109,abernto01
64,1980-81,26,IND,NBA,SF,29,,259,4.4,10.3,.429,0.0,0.2,.000,4.4,10.1,.436,2.0,3.5,.579,3.5,3.9,7.3,3.3,1.1,0.6,1.1,5.3,10.8,,109,108,abernto01
65,2016-17,23,OKC,NBA,SG,68,6,1055,6.2,15.9,.393,4.4,11.5,.381,1.9,4.4,.426,2.0,2.3,.898,0.8,3.2,4.0,1.9,1.7,0.4,1.5,5.3,18.9,,113,110,abrinal01
66,2017-18,24,OKC,NBA,SG,75,8,1134,5.0,12.7,.395,3.7,9.7,.380,1.4,3.1,.443,1.7,2.0,.848,1.1,3.9,5.0,1.2,1.7,0.4,1.1,5.4,15.4,,116,110,abrinal01
67,2005-06,23,DET,NBA,SG,5,0,35,6.3,25.3,.250,1.6,7.9,.200,4.7,17.4,.273,0.0,0.0,,1.6,6.3,7.9,6.3,1.6,0.0,6.3,6.3,14.2,,61,105,ackeral01
68,2008-09,26,TOT,NBA,SG,25,0,199,7.9,20.0,.395,1.8,5.3,.350,6.1,14.8,.411,1.3,2.6,.500,2.1,4.2,6.3,3.2,1.3,1.1,1.8,2.4,19.0,,94,114,ackeral01
69,2008-09,26,DET,NBA,SG,7,0,20,11.1,30.4,.364,0.0,11.1,.000,11.1,19.4,.571,2.8,5.5,.500,0.0,5.5,5.5,2.8,5.5,2.8,0.0,0.0,24.9,,86,98,ackeral01
70,2008-09,26,LAC,NBA,SG,18,0,179,7.6,18.9,.400,2.0,4.7,.438,5.5,14.3,.388,1.2,2.3,.500,2.3,4.1,6.4,3.2,0.9,0.9,2.0,2.6,18.3,,95,115,ackeral01
71,1987-88,25,BOS,NBA,C,79,5,1151,4.6,8.6,.532,0.0,0.0,,4.6,8.6,.532,3.0,4.7,.640,4.5,7.0,11.5,1.8,1.2,1.1,2.3,8.4,12.2,,113,109,acresma01
72,1988-89,26,BOS,NBA,C,62,0,632,4.3,8.8,.482,0.1,0.1,1.000,4.2,8.7,.478,2.0,3.7,.542,4.6,6.7,11.3,1.5,1.5,0.5,1.8,7.3,10.6,,108,110,acresma01
73,1989-90,27,ORL,NBA,C,80,50,1691,3.8,7.8,.484,0.1,0.1,.750,3.7,7.7,.480,2.3,3.3,.692,4.2,7.6,11.7,1.8,1.0,0.7,1.9,6.8,9.9,,110,114,acresma01
74,1990-91,28,ORL,NBA,C,68,0,1313,4.0,7.9,.509,0.0,0.1,.333,4.0,7.8,.512,2.4,3.7,.653,5.1,8.0,13.2,0.9,0.9,0.9,1.5,8.0,10.5,,116,109,acresma01
75,1991-92,29,ORL,NBA,C,68,6,926,4.1,8.0,.517,0.1,0.2,.333,4.1,7.8,.520,2.7,3.5,.761,5.1,8.2,13.3,1.2,1.3,0.8,1.7,7.4,11.0,,118,109,acresma01
76,1992-93,30,TOT,NBA,C,18,7,269,4.8,9.0,.531,0.2,0.4,.500,4.6,8.6,.532,2.0,2.9,.688,4.8,7.5,12.3,0.9,0.5,1.1,2.4,6.2,11.7,,107,111,acresma01
77,1992-93,30,HOU,NBA,C,6,0,23,4.4,19.9,.222,2.2,4.4,.500,2.2,15.5,.143,2.2,4.4,.500,4.4,8.8,13.3,0.0,0.0,0.0,4.4,4.4,13.3,,65,108,acresma01
78,1992-93,30,WSB,NBA,C,12,7,246,4.8,8.0,.600,0.0,0.0,,4.8,8.0,.600,2.0,2.8,.714,4.8,7.4,12.2,1.0,0.6,1.2,2.2,6.4,11.6,,115,112,acresma01
79,2012-13,22,TOR,NBA,PF,29,0,342,6.5,11.6,.560,0.2,0.3,.500,6.4,11.3,.562,4.8,5.9,.816,4.7,7.3,12.0,1.7,2.0,2.3,2.6,8.2,18.0,,120,105,acyqu01
80,2013-14,23,TOT,NBA,SF,63,0,847,4.0,8.5,.468,0.2,0.9,.267,3.7,7.6,.492,2.1,3.2,.660,4.3,8.7,13.0,1.7,1.4,1.6,1.8,7.3,10.3,,109,107,acyqu01
81,2013-14,23,TOR,NBA,SF,7,0,61,5.1,12.0,.429,1.7,4.3,.400,3.4,7.7,.444,4.3,6.9,.625,4.3,8.6,12.9,3.4,3.4,2.6,1.7,6.9,16.3,,118,98,acyqu01
82,2013-14,23,SAC,NBA,SF,56,0,786,3.9,8.2,.472,0.1,0.6,.200,3.8,7.6,.496,1.9,2.9,.667,4.3,8.7,13.0,1.6,1.2,1.5,1.8,7.4,9.8,,109,107,acyqu01
83,2014-15,24,NYK,NBA,PF,68,22,1287,6.2,13.5,.459,0.7,2.5,.300,5.5,11.1,.494,3.1,4.0,.784,3.2,9.1,12.3,2.8,1.1,0.9,2.5,6.0,16.3,,105,109,acyqu01
84,2015-16,25,SAC,NBA,PF,59,29,876,6.5,11.7,.556,1.0,2.7,.388,5.5,9.0,.606,2.7,3.7,.735,3.6,6.7,10.3,1.5,1.6,1.3,1.5,5.6,16.8,,124,108,acyqu01
85,2016-17,26,TOT,NBA,PF,38,1,558,6.0,14.6,.412,3.2,7.7,.411,2.8,6.8,.413,3.9,5.1,.750,1.7,8.1,9.8,1.5,1.2,1.3,1.8,5.7,19.0,,109,110,acyqu01
86,2016-17,26,DAL,NBA,PF,6,0,48,5.4,18.4,.294,1.1,7.6,.143,4.3,10.8,.400,2.2,3.3,.667,2.2,6.5,8.7,0.0,0.0,0.0,2.2,9.8,14.1,,71,113,acyqu01
87,2016-17,26,BRK,NBA,PF,32,1,510,6.0,14.2,.425,3.3,7.7,.434,2.7,6.5,.414,4.0,5.3,.754,1.7,8.3,9.9,1.7,1.3,1.4,1.8,5.4,19.4,,113,110,acyqu01
88,2017-18,27,BRK,NBA,PF,70,8,1359,4.6,13.0,.356,3.6,10.4,.349,1.0,2.6,.384,1.8,2.1,.817,1.4,7.7,9.1,2.0,1.2,1.0,2.1,5.3,14.7,,99,110,acyqu01
89,,21,PHO,NBA,C,80,,2656,10.8,22.9,.469,,,,10.8,22.9,.469,4.5,6.1,.735,3.7,8.8,12.4,7.7,2.1,2.0,,4.7,26.0,,,95,adamsal01
90,1976-77,22,PHO,NBA,C,72,,2278,10.3,21.8,.474,,,,10.3,21.8,.474,5.0,6.6,.754,3.6,9.3,12.9,6.4,1.9,1.7,,5.1,25.6,,,94,adamsal01
91,1977-78,23,PHO,NBA,C,70,,1914,9.8,20.1,.485,,,,9.8,20.1,.485,4.8,6.6,.730,3.6,9.2,12.7,5.1,1.9,1.4,5.3,5.4,24.4,,98,95,adamsal01
92,1978-79,24,PHO,NBA,C,77,,2364,10.6,20.1,.530,,,,10.6,20.1,.530,4.3,5.4,.799,4.1,9.1,13.2,6.7,2.1,1.2,5.2,4.6,25.6,,106,100,adamsal01
93,1979-80,25,PHO,NBA,C,75,,2168,9.8,18.5,.531,0.0,0.0,.000,9.8,18.4,.533,4.0,5.0,.797,3.3,9.5,12.9,6.8,2.3,1.2,4.6,5.0,23.6,,107,99,adamsal01
94,1980-81,26,PHO,NBA,C,75,,2054,10.2,19.4,.526,0.0,0.0,,10.2,19.4,.526,4.4,5.8,.768,3.5,8.7,12.2,7.7,2.4,1.5,5.0,5.0,24.9,,108,96,adamsal01
95,1981-82,27,PHO,NBA,C,79,75,2393,10.2,20.7,.494,0.0,0.0,.000,10.2,20.7,.494,3.7,4.7,.781,2.8,9.0,11.8,7.2,2.3,1.6,3.9,5.4,24.1,,106,99,adamsal01
96,1982-83,28,PHO,NBA,C,80,75,2447,9.2,18.9,.486,0.0,0.1,.333,9.2,18.9,.487,3.5,4.2,.829,3.1,7.5,10.6,7.3,2.2,1.4,4.7,5.5,21.9,,102,98,adamsal01
97,1983-84,29,PHO,NBA,C,70,13,1452,8.8,19.0,.462,0.0,0.1,.000,8.8,18.8,.465,4.3,5.2,.825,3.8,6.6,10.4,7.1,2.4,1.0,3.8,6.4,21.8,,107,106,adamsal01
98,1984-85,30,PHO,NBA,PF,82,69,2136,10.4,20.1,.520,0.0,0.0,,10.4,20.1,.520,5.5,6.2,.883,3.4,7.6,11.0,6.8,2.5,1.1,4.3,5.6,26.4,,111,104,adamsal01
99,1985-86,31,PHO,NBA,C,78,45,2005,7.8,15.5,.502,0.0,0.0,.000,7.8,15.5,.504,3.6,4.6,.783,3.4,7.5,10.9,7.4,2.4,1.1,4.7,6.2,19.2,,104,105,adamsal01
100,1986-87,32,PHO,NBA,C,68,40,1690,8.7,17.2,.503,0.0,0.0,.000,8.7,17.2,.504,3.7,4.7,.788,2.5,6.9,9.4,6.2,1.7,1.0,3.9,5.8,21.1,,106,109,adamsal01
101,1987-88,33,PHO,NBA,C,82,25,1646,7.2,14.6,.496,0.0,0.1,.500,7.2,14.5,.496,3.1,3.7,.844,3.4,7.1,10.5,5.3,2.4,1.2,4.0,7.1,17.6,,103,109,adamsal01
102,1973-74,26,DET,NBA,SF,74,,2298,5.9,14.6,.408,,,,5.9,14.6,.408,3.0,3.9,.761,2.6,6.2,8.8,2.8,2.2,0.2,,4.7,14.9,,,94,adamsdo01
103,1974-75,27,TOT,TOT,SF,67,,1718,4.7,11.4,.409,0.0,0.0,.000,4.7,11.3,.410,1.7,2.8,.620,2.3,6.3,8.6,3.6,2.3,0.6,0.7,6.0,11.0,,99,100,adamsdo01
104,1974-75,27,DET,NBA,SF,51,,1376,4.4,10.9,.403,,,,4.4,10.9,.403,1.6,2.7,.577,2.2,6.3,8.5,2.6,2.4,0.7,,6.2,10.4,,,98,adamsdo01
105,1974-75,27,SSL,ABA,SF,16,,342,5.6,13.0,.429,0.0,0.1,.000,5.6,12.9,.433,2.3,2.9,.773,2.8,6.2,9.0,7.2,1.7,0.3,3.6,5.1,13.4,,99,107,adamsdo01
106,1975-76,28,TOT,TOT,SF,76,,1429,5.2,13.2,.394,0.0,0.1,.000,5.2,13.2,.396,3.2,4.4,.736,2.6,5.6,8.2,5.1,2.1,0.4,1.6,6.5,13.7,,98,102,adamsdo01
107,1975-76,28,SSL,ABA,SF,20,,725,6.2,15.7,.394,0.0,0.1,.000,6.2,15.6,.398,3.9,5.2,.759,2.8,4.5,7.3,5.5,2.4,0.4,3.3,5.0,16.4,,98,106,adamsdo01
108,1975-76,28,BUF,NBA,SF,56,,704,4.2,10.7,.394,,,,4.2,10.7,.394,2.5,3.6,.702,2.4,6.7,9.1,4.6,1.9,0.4,,8.1,11.0,,,98,adamsdo01
109,1976-77,29,BUF,NBA,SF,77,,1710,5.7,13.8,.411,,,,5.7,13.8,.411,3.4,4.5,.746,3.4,6.3,9.7,3.9,1.9,0.4,,5.3,14.7,,,101,adamsdo01
110,1973-74,24,SDA,ABA,SF,80,,1433,7.8,15.5,.500,0.0,0.2,.143,7.7,15.3,.505,2.4,3.2,.757,3.8,6.7,10.5,3.9,1.3,0.7,3.6,3.4,17.9,,102,106,adamsge01
111,1974-75,25,SDA,ABA,SF,75,,1605,8.8,17.6,.498,0.0,0.1,.333,8.8,17.5,.499,2.1,2.4,.849,3.2,6.0,9.3,3.6,1.2,1.0,3.0,4.6,19.7,,104,109,adamsge01
112,2006-07,22,NJN,NBA,SG,61,8,495,8.0,14.3,.556,0.0,0.1,.000,8.0,14.2,.560,2.5,3.8,.667,3.7,4.5,8.2,1.4,1.8,0.4,2.3,5.0,18.5,,109,107,adamsha01
113,2008-09,24,TOR,NBA,SG,12,0,52,4.0,13.0,.308,0.0,0.0,,4.0,13.0,.308,3.0,6.0,.500,1.0,6.0,7.0,1.0,1.0,1.0,4.0,4.0,11.0,,63,111,adamsha01
114,2014-15,20,MEM,NBA,SG,30,0,248,7.4,18.1,.407,2.1,5.3,.400,5.3,12.8,.410,2.9,4.8,.609,1.9,4.0,5.9,3.4,3.4,1.5,2.9,5.1,19.8,,96,100,adamsjo01
115,2015-16,21,MEM,NBA,SG,2,0,15,6.9,20.6,.333,0.0,3.4,.000,6.9,17.2,.400,10.3,17.2,.600,0.0,6.9,6.9,10.3,10.3,0.0,6.9,6.9,24.0,,84,90,adamsjo01
116,1985-86,23,SAC,NBA,PG,18,0,139,5.4,14.9,.364,0.0,1.0,.000,5.4,13.9,.390,2.7,4.1,.667,0.7,1.4,2.0,7.5,3.0,0.3,3.7,3.0,13.5,,86,109,adamsmi01
117,1986-87,24,WSB,NBA,PG,63,0,1303,5.9,14.5,.407,1.0,3.8,.275,4.9,10.7,.454,3.9,4.6,.847,1.4,3.1,4.5,9.0,3.1,0.2,3.0,3.2,16.7,,109,108,adamsmi01
118,1987-88,25,DEN,NBA,PG,82,75,2778,6.8,15.2,.449,2.3,6.2,.367,4.5,9.0,.505,2.7,3.3,.834,0.7,3.0,3.7,8.2,2.8,0.3,2.4,2.3,18.6,,115,107,adamsmi01
119,1988-89,26,DEN,NBA,PG,77,77,2787,7.5,17.3,.433,2.7,7.5,.356,4.8,9.9,.490,5.2,6.3,.819,1.1,3.4,4.5,7.8,2.7,0.2,2.9,2.4,22.8,,115,108,adamsmi01
